# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一切顺利	yi qie shun li	3472
一到	yi dao	4382
一刹那	yi cha na	215
一刻	yi ke	3964
一副	yi fu	3223
一加	yi jia	3025
一动不动	yi dong bu dong	306
一劳永逸	yi lao yong yi	108
一勺	yi shao	333
一包	yi bao	2634
一千	yi qian	4918
一半	yi ban	14828
一半天	yi ban tian	28
一卦	yi gua	305
一厢情愿	yi xiang qing yuan	390
一去不复返	yi qu bu fu fan	721
一双	yi shuang	4477
一反常态	yi fan chang tai	30
一发	yi fa	3479
一发千钧	yi fa qian jun	5
一口	yi kou	11752
一口气	yi kou qi	2262
一句	yi ju	26754
一句话	yi ju hua	8802
一只	yi zhi	21870
一台	yi tai	4233
一叶知秋	yi ye zhi qiu	52
一号	yi hao	5230
一同	yi tong	9486
一吐为快	yi tu wei kuai	13
一向	yi xiang	2658
一周	yi zhou	13150
一味	yi wei	758
一呼百应	yi hu bai ying	62
一呼百诺	yi hu bai nuo	11
一命呜呼	yi ming wu hu	39
一品红	yi pin hong	8
一哄而上	yi hong er shang	4
一哄而散	yi hong er san	11
一哄而起	yi hong er qi	2
一哈	yi ha	3727
一唱一和	yi chang yi he	58
一唱百和	yi chang bai he	4
一回	yi hui	4177
一回事	yi hui shi	1042
一团和气	yi tuan he qi	16
一团漆黑	yi tuan qi hei	1
一团糟	yi tuan zao	290
一国两制	yi guo liang zhi	745
一圈	yi quan	7516
一场	yi chang	18400
一场戏	yi chang xi	230
一场空	yi chang kong	94
一场雪	yi chang xue	243
一块	yi kuai	12483
一块儿	yi kuai er	1224
一块肉	yi kuai rou	253
一块钱	yi kuai qian	2017
一坨	yi tuo	1392
一堆	yi dui	9029
一塌糊涂	yi ta hu tu	924
一声	yi sheng	8432
一声不响	yi sheng bu xiang	47
一声哭	yi sheng ku	345
一多半	yi duo ban	49
一夜	yi ye	5955
一大	yi da	8893
一大堆	yi da dui	2671
一大批	yi da pi	354
一大早	yi da zao	3543
一天	yi tian	90569
一天了	yi tian le	2913
一天到晚	yi tian dao wan	1777
一天天	yi tian tian	2078
一天就	yi tian jiu	2038
一天的	yi tian de	3138
一失足成千古恨	yi shi zu cheng qian gu hen	56
一头	yi tou	2461
一头雾水	yi tou wu shui	220
一套	yi tao	9528
一如	yi ru	77
一如既往	yi ru ji wang	1823
一孔之见	yi kong zhi jian	7
一字一句	yi zi yi ju	141
一字千金	yi zi qian jin	39
一字长蛇阵	yi zi chang she zhen	1
一季度	yi ji du	51
一定	yi ding	117829
一定之规	yi ding zhi gui	2
一定会	yi ding hui	14587
一定去	yi ding qu	2164
一定是	yi ding shi	10896
一定的	yi ding de	3802
一定要	yi ding yao	32196
一定要去	yi ding yao qu	1369
一审	yi shen	876
一家	yi jia	21250
一家一户	yi jia yi hu	2
一家之言	yi jia zhi yan	33
一家人	yi jia ren	3693
一家子	yi jia zi	621
一家老小	yi jia lao xiao	53
一宿	yi su	121
一宿	yi xiu	971
一对	yi dui	6717
一对一	yi dui yi	671
一小	yi xiao	4788
一小撮	yi xiao cuo	141
一小时	yi xiao shi	4404
一尘不染	yi chen bu ran	69
一层	yi ceng	4857
一展身手	yi zhan shen shou	15
一岁	yi sui	4121
一差二错	yi cha er cuo	2
一己	yi ji	195
一帆风顺	yi fan feng shun	490
一带	yi dai	7931
一席之地	yi xi zhi di	175
一席话	yi xi hua	115
一席谈	yi xi tan	7
一幅	yi fu	1552
一幅画	yi fu hua	286
一幢	yi zhuang	404
一干	yi gan	69
一干二净	yi gan er jing	4
一年	yi nian	48411
一年一度	yi nian yi du	502
一年了	yi nian le	954
一年到头	yi nian dao tou	183
一年十二月	yi nian shi er yue	88
一年半载	yi nian ban zai	138
一年多	yi nian duo	261
一年生	yi nian sheng	331
一并	yi bing	83
一应	yi ying	62
一应俱全	yi ying ju quan	59
一度	yi du	7773
一座	yi zuo	24053
一座古	yi zuo gu	728
一开始	yi kai shi	9462
一张	yi zhang	24206
一张一弛	yi zhang yi chi	8
一往情深	yi wang qing shen	188
一往无前	yi wang wu qian	85
一往而深	yi wang er shen	73
一径	yi jing	31
一律	yi lv	1335
一得之见	yi de zhi jian	5
一心	yi xin	1211
一心一德	yi xin yi de	3
一心一意	yi xin yi yi	1245
一念之差	yi nian zhi cha	32
一怔	yi zheng	4
一总	yi zong	30
一息尚存	yi xi shang cun	14
一想	yi xiang	3915
一意孤行	yi yi gu xing	89
一愣	yi leng	401
一成不变	yi cheng bu bian	217
一手	yi shou	2905
一手包办	yi shou bao ban	83
一手遮天	yi shou zhe tian	37
一打	yi da	2357
一扫而光	yi sao er guang	37
一扫而空	yi sao er kong	33
一批	yi pi	4310
一技之长	yi ji zhi chang	106
一把好手	yi ba hao shou	78
一把手	yi ba shou	107
一把抓	yi ba zhua	35
一拍即合	yi pai ji he	121
一挥而就	yi hui er jiu	2
一掷千金	yi zhi qian jin	19
一揽子	yi lan zi	26
一搏	yi bo	208
一支	yi zhi	6074
一改	yi gai	82
一整天	yi zheng tian	2639
一整套	yi zheng tao	219
一文不值	yi wen bu zhi	173
一文不名	yi wen bu ming	4
一斑	yi ban	56
一斤	yi jin	3809
一新	yi xin	91
一方	yi fang	3960
一方面	yi fang mian	1690
一旁	yi pang	683
一无所得	yi wu suo de	9
一无所有	yi wu suo you	700
一无所求	yi wu suo qiu	4
一无所知	yi wu suo zhi	426
一无所能	yi wu suo neng	2
一无所获	yi wu suo huo	143
一无所见	yi wu suo jian	1
一无是处	yi wu shi chu	393
一日不见	yi ri bu jian	73
一日不见如隔三秋	yi ri bu jian ru ge san qiu	120
一日千里	yi ri qian li	20
一旦	yi dan	3996
一早	yi zao	2138
一时	yi shi	4042
一时一刻	yi shi yi ke	2
一时半会儿	yi shi ban hui er	150
一时半刻	yi shi ban ke	12
一时间	yi shi jian	85
一星儿	yi xing er	72
一星半点儿	yi xing ban dian er	7
一显身手	yi xian shen shou	28
一晃	yi huang	819
一晚	yi wan	3513
一晚上	yi wan shang	5666
一月	yi yue	2631
一望无垠	yi wang wu yin	9
一望无边	yi wang wu bian	2
一望无际	yi wang wu ji	109
一朝	yi zhao	172
一朝一夕	yi zhao yi xi	54
一期	yi qi	5543
一本	yi ben	6406
一本正经	yi ben zheng jing	1245
一朵	yi duo	1505
一朵小	yi duo xiao	301
一朵花	yi duo hua	484
一束	yi shu	402
一条	yi tiao	25538
一条心	yi tiao xin	50
一条狗	yi tiao gou	835
一条腿	yi tiao tui	275
一条街	yi tiao jie	752
一条路	yi tiao lu	505
一条鱼	yi tiao yu	202
一条龙	yi tiao long	445
一来二去	yi lai er qu	26
一杯	yi bei	6729
一杯敬	yi bei jing	370
一杯酒	yi bei jiu	279
一板一眼	yi ban yi yan	56
一枚	yi mei	5121
一样	yi yang	162900
一样一样	yi yang yi yang	3111
一样了	yi yang le	3799
一样啊	yi yang a	3724
一样的	yi yang de	26790
一根	yi gen	3984
一根筋	yi gen jin	122
一棍子打死	yi gun zi da si	3
一棵	yi ke	857
一棵树	yi ke shu	446
一楼	yi lou	3064
一概	yi gai	281
一概而论	yi gai er lun	179
一模一样	yi mu yi yang	3206
一次	yi ci	85392
一次性	yi ci xing	2680
一次澡	yi ci zao	283
一款	yi kuan	6225
一款由	yi kuan you	1000
一步	yi bu	7305
一步一个脚印	yi bu yi ge jiao yin	114
一步到位	yi bu dao wei	141
一步步	yi bu bu	624
一步登天	yi bu deng tian	46
一段	yi duan	21845
一段时间	yi duan shi jian	8868
一段话	yi duan hua	451
一段路	yi duan lu	447
一毛不拔	yi mao bu ba	51
一气呵成	yi qi he cheng	163
一氧化碳	yi yang hua tan	317
一水儿	yi shui er	19
一汽	yi qi	267
一波	yi bo	7854
一波三折	yi bo san zhe	120
一泻千里	yi xie qian li	19
一派	yi pai	671
一流	yi liu	1272
一清二楚	yi qing er chu	126
一清二白	yi qing er bai	12
一清早	yi qing zao	16
一溜儿	yi liu er	6
一溜烟	yi liu yan	46
一潭死水	yi tan si shui	3
一炮打响	yi pao da xiang	11
一点	yi dian	104976
一点一滴	yi dian yi di	123
一点儿	yi dian er	2307
一点半点	yi dian ban dian	84
一点点	yi dian dian	3490
一点的	yi dian de	3974
一片	yi pian	8026
一片冰心	yi pian bing xin	4
一物降一物	yi wu xiang yi wu	64
一瓶	yi ping	4608
一生	yi sheng	12500
一生一世	yi sheng yi shi	464
一番	yi fan	2539
一病不起	yi bing bu qi	20
一百	yi bai	8342
一盏	yi zhan	209
一盒	yi he	2257
一盘散沙	yi pan san sha	56
一盘棋	yi pan qi	26
一目了然	yi mu liao ran	142
一目十行	yi mu shi hang	41
一直	yi zhi	167766
一直以为	yi zhi yi wei	4989
一直在	yi zhi zai	23369
一直想	yi zhi xiang	4578
一直是	yi zhi shi	5187
一直觉得	yi zhi jue de	2864
一直都在	yi zhi dou zai	697
一直都是	yi zhi dou shi	3509
一看	yi kan	13297
一看就	yi kan jiu	87
一看就是	yi kan jiu shi	38
一眨眼	yi zha yan	549
一眼	yi yan	8360
一瞥	yi pie	137
一瞬	yi shun	177
一瞬间	yi shun jian	2449
一知半解	yi zhi ban jie	63
一石二鸟	yi shi er niao	17
一码事	yi ma shi	3
一砖一瓦	yi zhuan yi wa	15
一碗	yi wan	4406
一碗水端平	yi wan shui duan ping	19
一碗面	yi wan mian	392
一碗饭	yi wan fan	234
一票制	yi piao zhi	78
一种	yi zhong	63155
一种菌	yi zhong jun	4
一种菌子	yi zhong jun zi	227
一秒	yi miao	3714
一程子	yi cheng zi	25
一穷二白	yi qiong er bai	3
一窍不通	yi qiao bu tong	181
一窝蜂	yi wo feng	52
一站	yi zhan	3326
一竿子插到底	yi gan zi cha dao di	4
一笑	yi xiao	3788
一笑置之	yi xiao zhi zhi	30
一笔勾销	yi bi gou xiao	38
一笔带过	yi bi dai guo	47
一笔抹杀	yi bi mo sha	1
一筐	yi kuang	383
一筹莫展	yi chou mo zhan	34
一箭双雕	yi jian shuang diao	45
一箱	yi xiang	2145
一篇	yi pian	4883
一米	yi mi	3438
一米线	yi mi xian	11
一系列	yi xi lie	6713
一级	yi ji	8670
一纸空文	yi zhi kong wen	11
一线	yi xian	3946
一经	yi jing	88
一统天下	yi tong tian xia	38
一缕	yi lv	410
一网打尽	yi wang da jin	76
一群	yi qun	8918
一者	yi zhe	18
一而再再而三	yi er zai zai er san	83
一肚子	yi du zi	510
一股	yi gu	3146
一股劲儿	yi gu jin er	3
一股脑儿	yi gu nao er	19
一脉相传	yi mai xiang chuan	8
一脉相承	yi mai xiang cheng	47
一脉相通	yi mai xiang tong	3
一脸	yi lian	5183
一臂之力	yi bi zhi li	202
一致	yi zhi	6234
一致性	yi zhi xing	274
一般	yi ban	66923
一般人	yi ban ren	2793
一般化	yi ban hua	97
一般来说	yi ban lai shuo	911
一般的	yi ban de	5388
一般般	yi ban ban	3239
一般见识	yi ban jian shi	518
一般都是	yi ban dou shi	1047
一艘	yi sou	2571
一色	yi se	171
一落千丈	yi luo qian zhang	94
一行	yi xing	97
一衣带水	yi yi dai shui	3
一表人才	yi biao ren cai	66
一见倾心	yi jian qing xin	131
一见如故	yi jian ru gu	185
一见钟情	yi jian zhong qing	1249
一视同仁	yi shi tong ren	180
一览	yi lan	336
一览众山小	yi lan zhong shan xiao	63
一览无余	yi lan wu yu	9
一览表	yi lan biao	113
一觉	yi jiao	7088
一觉睡	yi jiao shui	859
一角	yi jiao	2362
一触即发	yi chu ji fa	98
一触即溃	yi chu ji kui	6
一言一行	yi yan yi xing	76
一言不发	yi yan bu fa	79
一言为定	yi yan wei ding	732
一言九鼎	yi yan jiu ding	16
一言以蔽之	yi yan yi bi zhi	16
一言堂	yi yan tang	25
一言难尽	yi yan nan jin	2802
一语中的	yi yu zhong di	411
一语双关	yi yu shuang guan	241
一语破的	yi yu po di	8
一语道破	yi yu dao po	346
一说	yi shuo	8923
一诺千金	yi nuo qian jin	26
一败涂地	yi bai tu di	112
一贫如洗	yi pin ru xi	75
一贯	yi guan	1004
一贯性	yi guan xing	8
一贯道	yi guan dao	82
一走了之	yi zou liao zhi	44
一起	yi qi	222405
一起了	yi qi le	5468
一起加油	yi qi jia you	9336
一起努力	yi qi nu li	2977
一起去	yi qi qu	15872
一起吃	yi qi chi	6565
一起吃饭	yi qi chi fan	2880
一起吧	yi qi ba	2894
一起啊	yi qi a	2873
一起来	yi qi lai	4511
一起玩	yi qi wan	5420
一起的	yi qi de	7204
一起看	yi qi kan	3868
一起走	yi qi zou	3343
一起过	yi qi guo	2316
一趟	yi tang	5503
一跤	yi jiao	511
一路	yi lu	12238
一路平安	yi lu ping an	2270
一路繁花相送	yi lu fan hua xiang song	52
一路货	yi lu huo	7
一路顺风	yi lu shun feng	5447
一跳	yi tiao	3542
一蹴而就	yi cu er jiu	33
一蹶不振	yi jue bu zhen	92
一身	yi shen	6785
一转眼	yi zhuan yan	636
一辆	yi liang	4659
一辆车	yi liang che	618
一辈	yi bei	425
一辈子	yi bei zi	12985
一边	yi bian	14276
一边倒	yi bian dao	88
一连	yi lian	88
一连串	yi lian chuan	1031
一连气儿	yi lian qi er	10
一通	yi tong	636
一通百通	yi tong bai tong	8
一遍	yi bian	12898
一道	yi dao	4287
一部	yi bu	16442
一部分	yi bu fen	22710
一针见血	yi zhen jian xie	62
一针见血	yi zhen jian xue	497
一钱不值	yi qian bu zhi	4
一锅煮	yi guo zhu	11
一锅端	yi guo duan	34
一锅粥	yi guo zhou	58
一锤子买卖	yi chui zi mai mai	20
一锤定音	yi chui ding yin	27
一门心思	yi men xin si	61
一闪念	yi shan nian	4
一闪而过	yi shan er guo	148
一阵	yi zhen	3587
一阵子	yi zhen zi	1672
一阵风	yi zhen feng	313
一集	yi ji	5113
一霎	yi sha	39
一面	yi mian	7189
一面之交	yi mian zhi jiao	5
一面之缘	yi mian zhi yuan	119
一面之词	yi mian zhi ci	93
一项	yi xiang	7822
一顺儿	yi shun er	3
一顿	yi dun	11316
一顿饭	yi dun fan	1713
一颗	yi ke	24693
一颗心	yi ke xin	322
一颗绕	yi ke rao	4212
一颦一笑	yi pin yi xiao	65
一风吹	yi feng chui	4
一飞冲天	yi fei chong tian	53
一饱眼福	yi bao yan fu	43
一首	yi shou	8459
一首歌	yi shou ge	3221
一马平川	yi ma ping chuan	124
一马当先	yi ma dang xian	29
一骨碌	yi gu lu	10
一鳞半爪	yi lin ban zhao	2
一鸣惊人	yi ming jing ren	153
一鼓作气	yi gu zuo qi	151
一鼻孔出气	yi bi kong chu qi	4
一齐	yi qi	1026
丁	ding	16753
丁	zheng	838
丁丑	ding chou	134
丁丑科	ding chou ke	823
丁克	ding ke	93
丁卯	ding mao	365
丁堡	ding bao	7
丁字形	ding zi xing	7
丁字街	ding zi jie	11
丁宁	ding ning	101
丁当	ding dang	66
丁忧	ding you	556
丁敬	ding jing	64
丁文	ding wen	37
丁未	ding wei	177
丁未科	ding wei ke	617
丁汉	ding han	7
丁汝昌	ding ru chang	87
丁泉	ding quan	1341
丁点儿	ding dian er	4
丁父	ding fu	201
丁目	ding mu	4908
丁裔	ding yi	713
丁酉	ding you	598
丁酸	ding suan	112
丁零	ding ling	23
丁香	ding xiang	472
丁香花	ding xiang hua	76
七	qi	41294
七一	qi yi	93
七七八八	qi qi ba ba	131
七上八下	qi shang ba xia	75
七世	qi shi	780
七中	qi zhong	157
七八	qi ba	1825
七八十	qi ba shi	260
七八年	qi ba nian	206
七八点	qi ba dian	238
七十	qi shi	1617
七十七	qi shi qi	88
七十三	qi shi san	133
七十九	qi shi jiu	59
七十二	qi shi er	496
七十二行	qi shi er hang	4
七十五	qi shi wu	143
七十八	qi shi ba	73
七十六	qi shi liu	90
七十四	qi shi si	89
七号	qi hao	1357
七名	qi ming	741
七名举	qi ming ju	548
七名举人	qi ming ju ren	215
七品	qi pin	273
七嘴八舌	qi zui ba she	79
七堡	qi bao	51
七夕	qi xi	4810
七季	qi ji	25
七宝	qi bao	478
七尾	qi wei	238
七局	qi ju	130
七届	qi jie	494
七岁	qi sui	477
七巧板	qi qiao ban	22
七师	qi shi	171
七年	qi nian	6141
七年戊	qi nian wu	1
七弦琴	qi xian qin	9
七彩	qi cai	754
七律	qi lv	56
七情六欲	qi qing liu yu	11
七手八脚	qi shou ba jiao	55
七扭八歪	qi niu ba wai	2
七批	qi pi	5
七折八扣	qi zhe ba kou	14
七拼八凑	qi pin ba cou	7
七星	qi xing	721
七月	qi yue	6481
七濑	qi lai	262
七点	qi dian	4207
七点半	qi dian ban	1072
七百	qi bai	536
七窍	qi qiao	25
七窍生烟	qi qiao sheng yan	8
七绝	qi jue	62
七老八十	qi lao ba shi	102
七言诗	qi yan shi	15
七零八碎	qi ling ba sui	5
七零八落	qi ling ba luo	22
七龙	qi long	16
七龙珠	qi long zhu	841
万	mo	3365
万	wan	67309
万一	wan yi	8876
万万	wan wan	1367
万丈	wan zhang	213
万丈深渊	wan zhang shen yuan	27
万不得已	wan bu de yi	123
万世	wan shi	172
万事	wan shi	1316
万事亨通	wan shi heng tong	1
万事俱备	wan shi ju bei	84
万事大吉	wan shi da ji	143
万事如意	wan shi ru yi	1407
万事屋	wan shi wu	485
万事胜意	wan shi sheng yi	477
万事达	wan shi da	66
万事通	wan shi tong	43
万亩	wan mu	471
万人坑	wan ren keng	61
万人空巷	wan ren kong xiang	24
万亿	wan yi	275
万代	wan dai	546
万令	wan ling	399
万令吉	wan ling ji	423
万份	wan fen	740
万众	wan zhong	200
万众一心	wan zhong yi xin	31
万余	wan yu	811
万余人	wan yu ren	532
万倍	wan bei	362
万儿八千	wan er ba qian	12
万元	wan yuan	7678
万元户	wan yuan hu	44
万全	wan quan	138
万全之策	wan quan zhi ce	15
万兴	wan xing	75
万册	wan ce	532
万分	wan fen	1420
万劫不复	wan jie bu fu	153
万千	wan qian	826
万华	wan hua	299
万历	wan li	2058
万历三	wan li san	164
万历三十	wan li san shi	991
万历二	wan li er	475
万历二十	wan li er shi	1273
万历五	wan li wu	389
万历五年	wan li wu nian	389
万历八	wan li ba	336
万历八年	wan li ba nian	336
万历十	wan li shi	671
万历十三	wan li shi san	251
万历十六	wan li shi liu	275
万历十四	wan li shi si	350
万历四	wan li si	171
万历四十	wan li si shi	1175
万县	wan xian	148
万古	wan gu	112
万古流芳	wan gu liu fang	10
万古长青	wan gu chang qing	15
万吨	wan dun	1299
万国	wan guo	436
万圣	wan sheng	122
万圣节	wan sheng jie	1226
万块	wan kuai	558
万块钱	wan kuai qian	312
万塔	wan ta	50
万套	wan tao	250
万字	wan zi	715
万宁市	wan ning shi	133
万宝	wan bao	68
万宝路	wan bao lu	122
万家	wan jia	245
万家灯火	wan jia deng huo	14
万寿	wan shou	346
万寿无疆	wan shou wu jiang	99
万岁	wan sui	1529
万州	wan zhou	606
万年	wan nian	3250
万年历	wan nian li	39
万年青	wan nian qing	46
万幸	wan xing	626
万念俱灰	wan nian ju hui	83
万恶	wan e	714
万户	wan hu	562
万户侯	wan hu hou	14
万新	wan xin	86
万方	wan fang	136
万无一失	wan wu yi shi	45
万春	wan chun	68
万有引力	wan you yin li	110
万柏林	wan bai lin	58
万步	wan bu	327
万死不辞	wan si bu ci	4
万民	wan min	60
万水千山	wan shui qian shan	167
万泉	wan quan	69
万物	wan wu	1211
万物之灵	wan wu zhi ling	14
万状	wan zhuang	3
万用表	wan yong biao	12
万福	wan fu	252
万秀	wan xiu	52
万科	wan ke	137
万端	wan duan	2
万箭穿心	wan jian chuan xin	61
万籁	wan lai	17
万籁俱寂	wan lai ju ji	6
万紫千红	wan zi qian hong	61
万股	wan gu	227
万能	wan neng	2755
万能胶	wan neng jiao	14
万般	wan ban	176
万般无奈	wan ban wu nai	27
万花筒	wan hua tong	86
万诺	wan nuo	880
万诺沃	wan nuo wo	266
万诺维	wan nuo wei	411
万诺维奇	wan nuo wei qi	410
万象	wan xiang	716
万象城	wan xiang cheng	596
万象更新	wan xiang geng xin	29
万贯	wan guan	22
万载	wan zai	102
万达	wan da	449
万遍	wan bian	297
万里	wan li	1348
万里无云	wan li wu yun	7
万里长城	wan li chang cheng	41
万里长征	wan li chang zheng	1
万金油	wan jin you	51
万隆	wan long	218
万难	wan nan	25
万顷	wan qing	76
万马奔腾	wan ma ben teng	53
万马齐喑	wan ma qi yin	3
丈	zhang	1114
丈人	zhang ren	51
丈夫	zhang fu	5926
丈母娘	zhang mu niang	780
丈量	zhang liang	89
三	san	280069
三七	san qi	103
三三两两	san san liang liang	22
三下五除二	san xia wu chu er	9
三不管	san bu guan	33
三世	san shi	5227
三个	san ge	25049
三个人	san ge ren	2488
三个代表	san ge dai biao	37
三个月	san ge yue	5668
三丰	san feng	188
三义	san yi	155
三九	san jiu	302
三九天	san jiu tian	34
三乡	san xiang	106
三了	san le	2077
三五成群	san wu cheng qun	23
三井	san jing	680
三亚	san ya	4169
三亚市	san ya shi	320
三产	san chan	12
三亲六故	san qin liu gu	3
三代	san dai	1021
三令五申	san ling wu shen	8
三伏	san fu	40
三伏天	san fu tian	104
三位	san wei	2488
三位一体	san wei yi ti	205
三位数	san wei shu	471
三倍	san bei	906
三元	san yuan	384
三八妇女节	san ba fu nv jie	88
三八式	san ba shi	40
三公里	san gong li	183
三六九等	san liu jiu deng	73
三军	san jun	654
三农	san nong	49
三分	san fen	4703
三副	san fu	111
三包	san bao	232
三北	san bei	41
三区	san qu	311
三医院	san yi yuan	68
三十	san shi	9876
三十七	san shi qi	227
三十七年	san shi qi nian	631
三十万	san shi wan	355
三十三	san shi san	1131
三十九	san shi jiu	222
三十九年	san shi jiu nian	364
三十二	san shi er	1599
三十五	san shi wu	454
三十五名	san shi wu ming	79
三十五年	san shi wu nian	829
三十儿	san shi er	23
三十八	san shi ba	249
三十八年	san shi ba nian	732
三十六	san shi liu	598
三十六年	san shi liu nian	473
三十六计	san shi liu ji	57
三十几	san shi ji	195
三十四	san shi si	203
三十四名	san shi si ming	77
三十四年	san shi si nian	1354
三十岁	san shi sui	792
三十度	san shi du	430
三十斤	san shi jin	271
三十而立	san shi er li	86
三千	san qian	2566
三原色	san yuan se	16
三叉	san cha	155
三叉戟	san cha ji	195
三叠	san die	107
三叠纪	san die ji	219
三口	san kou	1258
三只手	san zhi shou	41
三合	san he	507
三合土	san he tu	22
三合板	san he ban	10
三围	san wei	1173
三国	san guo	4726
三圣	san sheng	287
三垒	san lei	218
三垒手	san lei shou	240
三城	san cheng	125
三堂	san tang	61
三堡	san bao	213
三夏	san xia	54
三大队	san da dui	50
三天	san tian	12022
三天两头	san tian liang tou	278
三天打鱼	san tian da yu	98
三头六臂	san tou liu bi	31
三好生	san hao sheng	6
三姑六婆	san gu liu po	87
三姨	san yi	165
三孔	san kong	73
三字经	san zi jing	105
三季	san ji	322
三宅	san zhai	403
三官	san guan	130
三宝	san bao	643
三寸	san cun	73
三尺	san chi	231
三层	san ceng	1894
三届	san jie	604
三岁	san sui	2366
三岔	san cha	51
三岔路口	san cha lu kou	18
三岛由纪夫	san dao you ji fu	61
三峡	san xia	905
三年	san nian	19531
三废	san fei	51
三弦	san xian	74
三得利	san de li	159
三心二意	san xin er yi	151
三思	san si	253
三思而后行	san si er hou xing	88
三思而行	san si er xing	9
三振	san zhen	914
三支队	san zhi dui	78
三教	san jiao	201
三教九流	san jiao jiu liu	19
三文鱼	san wen yu	1191
三斤	san jin	1691
三方	san fang	883
三明市	san ming shi	103
三明治	san ming zhi	898
三星	san xing	4810
三更	san geng	76
