# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
中共贵港市委政法委	zhong gong gui gang shi wei zheng fa wei	2
中凯律师事务所	zhong kai lv shi shi wu suo	8
中募委	zhong mu wei	8
中医医院管理评价指南	zhong yi yi yuan guan li ping jia zhi nan	6
中医药管理局	zhong yi yao guan li ju	14
中医药继续教育规定	zhong yi yao ji xu jiao yu gui ding	6
中华人民共和国专利局	zhong hua ren min gong he guo zhuan li ju	8
中华人民共和国主席	zhong hua ren min gong he guo zhu xi	14
中华人民共和国仲裁法	zhong hua ren min gong he guo zhong cai fa	11
中华人民共和国价格法	zhong hua ren min gong he guo jia ge fa	12
中华人民共和国保险法	zhong hua ren min gong he guo bao xian fa	12
中华人民共和国兵役法	zhong hua ren min gong he guo bing yi fa	11
中华人民共和国军事法	zhong hua ren min gong he guo jun shi fa	4
中华人民共和国农业部	zhong hua ren min gong he guo nong ye bu	11
中华人民共和国国务院	zhong hua ren min gong he guo guo wu yuan	14
中华人民共和国学位法	zhong hua ren min gong he guo xue wei fa	3
中华人民共和国学校法	zhong hua ren min gong he guo xue xiao fa	4
中华人民共和国审计法	zhong hua ren min gong he guo shen ji fa	12
中华人民共和国建设部	zhong hua ren min gong he guo jian she bu	12
中华人民共和国旅游法	zhong hua ren min gong he guo lv you fa	6
中华人民共和国森林法	zhong hua ren min gong he guo sen lin fa	11
中华人民共和国水法	zhong hua ren min gong he guo shui fa	11
中华人民共和国测绘法	zhong hua ren min gong he guo ce hui fa	10
中华人民共和国海关法	zhong hua ren min gong he guo hai guan fa	12
中华人民共和国渔业法	zhong hua ren min gong he guo yu ye fa	10
中华人民共和国煤炭法	zhong hua ren min gong he guo mei tan fa	9
中华人民共和国物权法	zhong hua ren min gong he guo wu quan fa	13
中华人民共和国电信法	zhong hua ren min gong he guo dian xin fa	6
中华人民共和国种子法	zhong hua ren min gong he guo zhong zi fa	10
中华人民共和国继承法	zhong hua ren min gong he guo ji cheng fa	10
中华人民共和国证券法	zhong hua ren min gong he guo zheng quan fa	14
中华人民共和国财政部	zhong hua ren min gong he guo cai zheng bu	12
中华人民共和国铁路法	zhong hua ren min gong he guo tie lu fa	9
中华人民共和国防洪法	zhong hua ren min gong he guo fang hong fa	10
中华人民共和国食品法	zhong hua ren min gong he guo shi pin fa	4
中华全国工商业联合会	zhong hua quan guo gong shang ye lian he hui	13
中华全国律师协会	zhong hua quan guo lv shi xie hui	21
中华全国律师协会章程	zhong hua quan guo lv shi xie hui zhang cheng	6
中华女	zhong hua nv	13
中华民国宪法概要	zhong hua min guo xian fa gai yao	1
中华民国约法	zhong hua min guo yue fa	6
中华民国鄂州约法	zhong hua min guo e zhou yue fa	5
中华法系	zhong hua fa xi	4
中卫市农牧局	zhong wei shi nong mu ju	3
中国专利信息中心	zhong guo zhuan li xin xi zhong xin	8
中国专利制度	zhong guo zhuan li zhi du	8
中国专利发明人年鉴	zhong guo zhuan li fa ming ren nian jian	4
中国专利局	zhong guo zhuan li ju	4
中国个体劳动者协会	zhong guo ge ti lao dong zhe xie hui	10
中国中小企业协会章程	zhong guo zhong xiao qi ye xie hui zhang cheng	3
中国之路与中国民法典	zhong guo zhi lu yu zhong guo min fa dian	3
中国习惯法论	zhong guo xi guan fa lun	4
中国书画装裱大全	zhong guo shu hua zhuang biao da quan	2
中国人权年刊	zhong guo ren quan nian kan	4
中国人民政治协商会议	zhong guo ren min zheng zhi xie shang hui yi	15
中国人民解放军财务部	zhong guo ren min jie fang jun cai wu bu	5
中国人民银行法	zhong guo ren min yin hang fa	9
中国价格法	zhong guo jia ge fa	4
中国企业商标网	zhong guo qi ye shang biao wang	4
中国企业家协会	zhong guo qi ye jia xie hui	9
中国企业法律事典	zhong guo qi ye fa lv shi dian	4
中国作家协会章程	zhong guo zuo jia xie hui zhang cheng	6
中国侵权损害赔偿网	zhong guo qin quan sun hai pei chang wang	3
中国保障性住房	zhong guo bao zhang xing zhu fang	4
中国信鸽协会竞赛规则	zhong guo xin ge xie hui jing sai gui ze	6
中国公证员协会	zhong guo gong zheng yuan xie hui	8
中国兵器工业总公司	zhong guo bing qi gong ye zong gong si	10
中国典型海事案例评析	zhong guo dian xing hai shi an li ping xi	2
中国农民工权利保障	zhong guo nong min gong quan li bao zhang	2
中国农民权益保护	zhong guo nong min quan yi bao hu	5
中国刑事法杂志	zhong guo xing shi fa za zhi	2
中国刑事警察	zhong guo xing shi jing cha	7
中国刑事辩护网	zhong guo xing shi bian hu wang	7
中国刑法近代化论纲	zhong guo xing fa jin dai hua lun gang	2
中国十大杰出检察官	zhong guo shi da jie chu jian cha guan	9
中国华能集团公司	zhong guo hua neng ji tuan gong si	2
中国反垄断法	zhong guo fan long duan fa	10
中国发明协会	zhong guo fa ming xie hui	5
中国古代判词研究	zhong guo gu dai pan ci yan jiu	2
中国古代契约法	zhong guo gu dai qi yue fa	4
中国古代巡视制度	zhong guo gu dai xun shi zhi du	3
中国古代权力与法律	zhong guo gu dai quan li yu fa lv	3
中国古代行政立法	zhong guo gu dai xing zheng li fa	2
中国司法现代化研究	zhong guo si fa xian dai hua yan jiu	3
中国名律师办案实录	zhong guo ming lv shi ban an shi lu	3
中国国有资产法研究	zhong guo guo you zi chan fa yan jiu	3
中国国际商会仲裁院	zhong guo guo ji shang hui zhong cai yuan	6
中国国际私法完善研究	zhong guo guo ji si fa wan shan yan jiu	3
中国土地权利研究	zhong guo tu di quan li yan jiu	6
中国土地法大纲	zhong guo tu di fa da gang	11
中国增值税法	zhong guo zeng zhi shui fa	2
中国外贸依存度	zhong guo wai mao yi cun du	9
中国外轮代理公司	zhong guo wai lun dai li gong si	2
中国大案侦破实录	zhong guo da an zhen po shi lu	7
中国大陆行政诉讼	zhong guo da lu xing zheng su song	4
中国妇女发展基金会	zhong guo fu nv fa zhan ji jin hui	12
中国妇女研究会	zhong guo fu nv yan jiu hui	8
中国婚姻家庭及其变迁	zhong guo hun yin jia ting ji qi bian qian	6
中国婚姻法学研究会	zhong guo hun yin fa xue yan jiu hui	3
中国安全防范行业年鉴	zhong guo an quan fang fan hang ye nian jian	5
中国宪政史研究纲要	zhong guo xian zheng shi yan jiu gang yao	3
中国宪法研究	zhong guo xian fa yan jiu	4
中国家具消费维权宝典	zhong guo jia ju xiao fei wei quan bao dian	5
中国家族法原理	zhong guo jia zu fa yuan li	6
中国对外承包工程商会	zhong guo dui wai cheng bao gong cheng shang hui	11
中国对外贸易法	zhong guo dui wai mao yi fa	7
中国少数民族法制史	zhong guo shao shu min zu fa zhi shi	4
中国工商银行办公室	zhong guo gong shang yin hang ban gong shi	6
中国广告法	zhong guo guang gao fa	7
中国当代法学争鸣实录	zhong guo dang dai fa xue zheng ming shi lu	4
中国影响性诉讼	zhong guo ying xiang xing su song	4
中国律师办案全程实录	zhong guo lv shi ban an quan cheng shi lu	7
中国律师涉案实录	zhong guo lv shi she an shi lu	3
中国战争电影史	zhong guo zhan zheng dian ying shi	5
中国房地产法	zhong guo fang di chan fa	1
中国房地产税收	zhong guo fang di chan shui shou	9
中国执业药师	zhong guo zhi ye yao shi	9
中国摄影家协会章程	zhong guo she ying jia xie hui zhang cheng	4
中国新闻传播事业史纲	zhong guo xin wen chuan bo shi ye shi gang	3
中国新闻工作者协会	zhong guo xin wen gong zuo zhe xie hui	7
中国普法网	zhong guo pu fa wang	11
中国未成年人	zhong guo wei cheng nian ren	6
中国核工业总公司	zhong guo he gong ye zong gong si	10
中国残疾人福利基金会	zhong guo can ji ren fu li ji jin hui	11
中国残疾人联合会	zhong guo can ji ren lian he hui	27
中国民用航空总局	zhong guo min yong hang kong zong ju	20
中国法制史	zhong guo fa zhi shi	8
中国法制频道	zhong guo fa zhi pin dao	3
中国法学前沿	zhong guo fa xue qian yan	2
中国法学教育研究	zhong guo fa xue jiao yu yan jiu	1
中国法律思想史	zhong guo fa lv si xiang shi	2
中国法律知识资源总库	zhong guo fa lv zhi shi zi yuan zong ku	4
中国法律门户网	zhong guo fa lv men hu wang	5
中国注册会计师	zhong guo zhu ce kuai ji shi	2
中国注册会计师协会	zhong guo zhu ce kuai ji shi xie hui	14
中国注册会计师法	zhong guo zhu ce kuai ji shi fa	6
中国海关关徽	zhong guo hai guan guan hui	3
中国滑雪场所管理规范	zhong guo hua xue chang suo guan li gui fan	4
中国烟草总公司	zhong guo yan cao zong gong si	11
中国煤炭行业自律公约	zhong guo mei tan hang ye zi lv gong yue	4
中国特色社会主义制度	zhong guo te se she hui zhu yi zhi du	10
中国现代史	zhong guo xian dai shi	49
中国盲人协会	zhong guo mang ren xie hui	1
中国知识产权	zhong guo zhi shi chan quan	3
中国知识产权司法保护	zhong guo zhi shi chan quan si fa bao hu	8
中国知识产权法	zhong guo zhi shi chan quan fa	1
中国知识产权研究会	zhong guo zhi shi chan quan yan jiu hui	9
中国知识产权评论	zhong guo zhi shi chan quan ping lun	3
中国社会工作者协会	zhong guo she hui gong zuo zhe xie hui	9
中国税收守法基本问题	zhong guo shui shou shou fa ji ben wen ti	2
中国稻田甲烷排放	zhong guo dao tian jia wan pai fang	3
中国第一圣	zhong guo di yi sheng	4
中国经济制度	zhong guo jing ji zhi du	9
中国统配煤矿总公司	zhong guo tong pei mei kuang zong gong si	9
中国聋哑人协会	zhong guo long ya ren xie hui	3
中国能源法律体系研究	zhong guo neng yuan fa lv ti xi yan jiu	4
中国航空法	zhong guo hang kong fa	7
中国药事法	zhong guo yao shi fa	5
中国药事法规	zhong guo yao shi fa gui	5
中国证券业协会	zhong guo zheng quan ye xie hui	6
中国证券业协会章程	zhong guo zheng quan ye xie hui zhang cheng	6
中国证券投资基金法	zhong guo zheng quan tou zi ji jin fa	5
中国财贸工会	zhong guo cai mao gong hui	4
中国质量监督	zhong guo zhi liang jian du	10
中国轻工总会	zhong guo qing gong zong hui	5
中国违宪审查制度	zhong guo wei xian shen cha zhi du	5
中国连锁经营协会	zhong guo lian suo jing ying xie hui	4
中国道路交通安全法	zhong guo dao lu jiao tong an quan fa	4
中国重案纪实录	zhong guo zhong an ji shi lu	3
中国银行业维权公约	zhong guo yin hang ye wei quan gong yue	5
中国银行业自律公约	zhong guo yin hang ye zi lv gong yue	6
中国食品工业协会	zhong guo shi pin gong ye xie hui	8
中外合作经营企业	zhong wai he zuo jing ying qi ye	4
中外合资企业章程	zhong wai he zi qi ye zhang cheng	3
中外合资经营企业法	zhong wai he zi jing ying qi ye fa	12
中外法学名著指要	zhong wai fa xue ming zhu zhi yao	2
中央与地方财政	zhong yang yu di fang cai zheng	10
中央储备糖管理办法	zhong yang chu bei tang guan li ban fa	7
中央军事委员会主席	zhong yang jun shi wei yuan hui zhu xi	14
中央地方共享税	zhong yang di fang gong xiang shui	9
中央电视台晚会	zhong yang dian shi tai wan hui	7
中央转业建设委员会	zhong yang zhuan ye jian she wei yuan hui	4
中小企业扶持资金	zhong xiao qi ye fu chi zi jin	7
中小企业政策	zhong xiao qi ye zheng ce	1
中小企业标准暂行规定	zhong xiao qi ye biao zhun zan xing gui ding	8
中小学校会计制度	zhong xiao xue xiao kuai ji zhi du	8
中小学校长培训规定	zhong xiao xue xiao zhang pei xun gui ding	7
中小板指数	zhong xiao ban zhi shu	13
中德法学论坛	zhong de fa xue lun tan	3
中性货币政策	zhong xing huo bi zheng ce	8
中方县法院	zhong fang xian fa yuan	3
中日四个政治文件	zhong ri si ge zheng zhi wen jian	3
中日通商行船条约	zhong ri tong shang xing chuan tiao yue	5
中欧法学院	zhong ou fa xue yuan	7
中欧自由贸易区	zhong ou zi you mao yi qu	6
中止令	zhong zhi ling	1
中止执行	zhong zhi zhi xing	5
中止谈判	zhong zhi tan pan	9
中毒性精神病	zhong du xing jing shen bing	1
中法网学校	zhong fa wang xue xiao	14
中直机关事务管理局	zhong zhi ji guan shi wu guan li ju	7
中等职业学校德育大纲	zhong deng zhi ye xue xiao de yu da gang	6
中美审判效率比较研究	zhong mei shen pan xiao lv bi jiao yan jiu	2
中表婚	zhong biao hun	7
中豪律师事务所	zhong hao lv shi shi wu suo	8
中转服务	zhong zhuan fu wu	5
中铁五局集团	zhong tie wu ju ji tuan	3
中间业主	zhong jian ye zhu	5
中间判决	zhong jian pan jue	6
中间媒介	zhong jian mei jie	10
中青年法学文库	zhong qing nian fa xue wen ku	5
中韩铁路轮渡	zhong han tie lu lun du	8
临夏回族自治州公安局	lin xia hui zu zi zhi zhou gong an ju	4
临时价格干预	lin shi jia ge gan yu	15
临时使用土地合同	lin shi shi yong tu di he tong	9
临时使用土地补偿费	lin shi shi yong tu di bu chang fei	8
临时存储粮	lin shi cun chu liang	11
临时性禁止令	lin shi xing jin zhi ling	2
丹诺辩护实录	dan nuo bian hu shi lu	2
为亲友非法牟利罪	wei qin you fei fa mou li zui	9
为什么制度重要	wei shen me zhi du zhong yao	4
为利执法	wei li zhi fa	2
为吏之道	wei li zhi dao	7
为官僚制正名	wei guan liao zhi zheng ming	2
为实施权	wei shi shi quan	6
为废除死刑而战	wei fei chu si xing er zhan	4
为政以德	wei zheng yi de	1
为权利而斗争	wei quan li er dou zheng	11
为权益而战	wei quan yi er zhan	5
为第三人利益合同	wei di san ren li yi he tong	5
主体不符	zhu ti bu fu	9
主动交代违法违纪行为	zhu dong jiao dai wei fa wei ji xing wei	8
主审裁判官	zhu shen cai pan guan	5
主客观相统一	zhu ke guan xiang tong yi	9
主权外债	zhu quan wai zhai	9
主权违约	zhu quan wei yue	1
主营业地	zhu ying ye di	10
主要业务地点	zhu yao ye wu di dian	4
主要债务人	zhu yao zhai wu ren	9
主要办事处	zhu yao ban shi chu	6
主要林木品种审定办法	zhu yao lin mu pin zhong shen ding ban fa	4
主要民事赔偿责任	zhu yao min shi pei chang ze ren	6
主观恶性	zhu guan e xing	6
举证责任倒置原则	ju zheng ze ren dao zhi yuan ze	9
乌尔纳木法典	wu er na mu fa dian	6
乌鲁木齐县法院	wu lu mu qi xian fa yuan	2
乌鲁木齐市信访局	wu lu mu qi shi xin fang ju	4
乐业县人民检察院	le ye xian ren min jian cha yuan	3
乐安县公安局	le an xian gong an ju	5
乐都县司法局	le du xian si fa ju	3
乙方受让	yi fang shou rang	7
九江市扶贫办	jiu jiang shi fu pin ban	2
乞丐罪	qi gai zui	4
也许正在发生	ye xu zheng zai fa sheng	8
习惯国际法	xi guan guo ji fa	9
乡村医生从业管理条例	xiang cun yi sheng cong ye guan li tiao li	9
乡村规划	xiang cun gui hua	13
乡镇企业用地使用权	xiang zhen qi ye yong di shi yong quan	5
乡镇联营企业暂行规定	xiang zhen lian ying qi ye zan xing gui ding	5
书记员宣读法庭纪律	shu ji yuan xuan du fa ting ji lv	4
书记官专业	shu ji guan zhuan ye	5
买卖军用标志罪	mai mai jun yong biao zhi zui	6
乱集资	luan ji zi	11
乾理律师事务所	qian li lv shi shi wu suo	4
争论点	zheng lun dian	12
事业单位人事管理条例	shi ye dan wei ren shi guan li tiao li	7
事业单位人员失职罪	shi ye dan wei ren yuan shi zhi zui	7
事业单位人员聘用制度	shi ye dan wei ren yuan pin yong zhi du	9
事业单位养老保险	shi ye dan wei yang lao bao xian	12
事业单位工资制度	shi ye dan wei gong zi zhi du	11
