# 青简领域词库：财经，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
交行	jiao hang	12
交货价	jiao huo jia	6
交货单	jiao huo dan	4
交钥匙	jiao yao shi	8
交银	jiao yin	8
交银施罗德	jiao yin shi luo de	1
交银添利	jiao yin tian li	2
交银环球	jiao yin huan qiu	2
产业资本	chan ye zi ben	3
产品介绍	chan pin jie shao	23
产权导刊	chan quan dao kan	3
亨泰	heng tai	26
亨通光电	heng tong guang dian	1
京信通信	jing xin tong xin	2
京投银泰	jing tou yin tai	3
京运通	jing yun tong	6
亿安	yi an	15
亿阳信通	yi yang xin tong	6
仓单	cang dan	1
仕奇	shi qi	4
付息日	fu xi ri	6
代理制	dai li zhi	3
代领人	dai ling ren	8
仪化	yi hua	1
仲裁规则	zhong cai gui ze	5
价内权证	jia nei quan zheng	3
价差	jia cha	38
价格改革	jia ge gai ge	21
价税	jia shui	20
企业所得税法	qi ye suo de shui fa	8
伊立浦	yi li pu	6
众业达	zhong ye da	5
优先股	you xian gu	12
伟易达集团	wei yi da ji tuan	2
伦敦金	lun dun jin	19
低价股	di jia gu	7
低吸	di xi	6
低开	di kai	11
低点	di dian	13
体制性	ti zhi xing	6
体彩	ti cai	18
佳兆业集团	jia zhao ye ji tuan	5
佳士科技	jia shi ke ji	20
佳纸	jia zhi	4
供给区	gong ji qu	5
侨兴环球	qiao xing huan qiu	3
保函	bao han	33
保利地产	bao li di chan	2
保利达资产	bao li da zi chan	1
保增长	bao zeng zhang	8
保理商	bao li shang	6
保管人	bao guan ren	17
保网	bao wang	1
保荐制	bao jian zhi	4
保额	bao e	6
信德集团	xin de ji tuan	5
信息披露制度	xin xi pi lu zhi du	3
信息早报	xin xi zao bao	6
信托业	xin tuo ye	11
信托合同	xin tuo he tong	1
信托资产	xin tuo zi chan	1
信用度	xin yong du	1
信用证	xin yong zheng	18
信用评级	xin yong ping ji	43
信用额度	xin yong e du	9
信立泰	xin li tai	8
信联	xin lian	4
信诚四季红	xin cheng si ji hong	3
信诺	xin nuo	21
信贷资产	xin dai zi chan	1
信贷资金	xin dai zi jin	2
信达地产	xin da di chan	3
信达期货	xin da qi huo	3
信达证券	xin da zheng quan	2
信达资产	xin da zi chan	3
信达资产管理公司	xin da zi chan guan li gong si	6
修身堂	xiu shen tang	3
借报	jie bao	1
借款人	jie kuan ren	47
债务国	zhai wu guo	3
债市	zhai shi	2
债权国	zhai quan guo	6
假账	jia zhang	5
做空	zuo kong	10
停业通知书	ting ye tong zhi shu	4
健康元	jian kang yuan	5
健康险	jian kang xian	1
偿债	chang zhai	44
储备头寸	chu bei tou cun	6
储蓄券	chu xu quan	5
储蓄卡	chu xu ka	10
储蓄率	chu xu lv	3
催收	cui shou	23
先声药业	xian sheng yao ye	3
先施	xian shi	36
光大保德信	guang da bao de xin	4
光明乳业	guang ming ru ye	10
免代理费	mian dai li fei	3
兑付期	dui fu qi	6
入市	ru shi	13
入股协议	ru gu xie yi	2
全局观	quan ju guan	1
全权信托	quan quan xin tuo	3
全球商业	quan qiu shang ye	17
全球商业经典	quan qiu shang ye jing dian	2
全球资本市场	quan qiu zi ben shi chang	3
全聚德	quan ju de	22
全面发力	quan mian fa li	1
八一钢铁	ba yi gang tie	1
公募	gong mu	44
公司制	gong si zhi	30
公司理财	gong si li cai	1
公司章程	gong si zhang cheng	33
公用科技	gong yong ke ji	7
公积金率	gong ji jin lv	2
公股	gong gu	23
公营化	gong ying hua	1
六渡桥	liu du qiao	4
六福集团	liu fu ji tuan	1
兰光	lan guang	5
兰铝	lan lv	4
共保	gong bao	2
共合网	gong he wang	2
兴业卡	xing ye ka	3
兴利集团	xing li ji tuan	2
兴达国际	xing da guo ji	4
典当行	dian dang hang	8
内盘	nei pan	2
内蒙君正	nei meng jun zheng	6
内蒙宏峰	nei meng hong feng	2
内部控制	nei bu kong zhi	29
内部资料	nei bu zi liao	24
农化	nong hua	13
农商社	nong shang she	3
农林牧渔	nong lin mu yu	7
农行卡	nong hang ka	9
冠城大通	guan cheng da tong	5
冰熊	bing xiong	1
冲高	chong gao	10
冷却期	leng que qi	3
净利润率	jing li run lv	6
净收入	jing shou ru	15
净现值	jing xian zhi	5
净额	jing e	35
准备金率	zhun bei jin lv	3
准贷记卡	zhun dai ji ka	2
减仓	jian cang	1
凤凰股	feng huang gu	2
凤凰财经	feng huang cai jing	2
凤竹纺织	feng zhu fang zhi	3
凯地	kai di	12
凯美特气	kai mei te qi	5
凯诺科技	kai nuo ke ji	3
凯迪电力	kai di dian li	1
凯马	kai ma	23
出千	chu qian	7
出口业	chu kou ye	3
出口人	chu kou ren	4
出口商	chu kou shang	44
出售方	chu shou fang	1
出清	chu qing	10
出票人	chu piao ren	1
出租人	chu zu ren	12
出资额	chu zi e	13
分散化	fen san hua	11
分期付款	fen qi fu kuan	33
分界点	fen jie dian	38
分行制	fen hang zhi	3
分配方案	fen pei fang an	5
划断	hua duan	8
创业教育	chuang ye jiao yu	9
创业网	chuang ye wang	1
创业计划书	chuang ye ji hua shu	1
创兴银行	chuang xing yin hang	11
创投公司	chuang tou gong si	18
创新低	chuang xin di	13
创智	chuang zhi	22
利多消息	li duo xiao xi	3
利差	li cha	12
利息率	li xi lv	8
利源铝业	li yuan lv ye	5
利空	li kong	13
利记	li ji	7
利邦	li bang	9
到期日	dao qi ri	27
到账	dao zhang	7
前手	qian shou	7
前笔	qian bi	7
剩余价值	sheng yu jia zhi	16
力合股份有限公司	li he gu fen you xian gong si	1
办税厅	ban shui ting	10
办税员	ban shui yuan	5
加仓	jia cang	7
加拿大元	jia na da yuan	27
动力源	dong li yuan	36
劳埃德银行	lao ai de yin hang	13
包头铝业	bao tou lv ye	4
包钢	bao gang	20
化工股	hua gong gu	6
北亚集团	bei ya ji tuan	3
北京分行	bei jing fen hang	19
北京利尔	bei jing li er	5
北京华联	bei jing hua lian	2
北京君正	bei jing jun zheng	3
北京国投	bei jing guo tou	1
北京天桥	bei jing tian qiao	5
北京旅游	bei jing lv you	14
北京科锐	bei jing ke rui	1
北京银行	bei jing yin hang	12
北大荒	bei da huang	28
北新路桥	bei xin lu qiao	2
北旅	bei lv	1
北海港	bei hai gang	7
北海银行	bei hai yin hang	8
北海集团	bei hai ji tuan	2
北满特钢	bei man te gang	1
北玻股份	bei bo gu fen	5
北矿	bei kuang	6
北辰实业	bei chen shi ye	2
北陆药业	bei lu yao ye	3
区域型	qu yu xing	9
半仓	ban cang	1
半年报	ban nian bao	5
半年期	ban nian qi	2
华东医药股份有限公司	hua dong yi yao gu fen you xian gong si	5
华丰集团	hua feng ji tuan	1
华仁药业	hua ren yao ye	2
华力创通	hua li chuang tong	1
华北制药	hua bei zhi yao	1
华北银行	hua bei yin hang	6
华升股份	hua sheng gu fen	3
华南城	hua nan cheng	21
华商产业	hua shang chan ye	3
华商银行	hua shang yin hang	5
华塑	hua su	6
华夏通	hua xia tong	2
华天酒店	hua tian jiu dian	5
华孚色纺	hua fu se fang	5
华安宏利	hua an hong li	5
华安宝利	hua an bao li	5
华安富利	hua an fu li	2
华微电子	hua wei dian zi	1
华昌化工	hua chang hua gong	3
华昌达	hua chang da	7
华海药业	hua hai yao ye	8
华润置地	hua run zhi di	12
华润锦华	hua run jin hua	3
华润集团	hua run ji tuan	25
华源	hua yuan	9
华盛达	hua sheng da	1
华神集团	hua shen ji tuan	5
华联商厦	hua lian shang sha	4
华联综超	hua lian zong chao	2
华芳纺织	hua fang fang zhi	1
华菱钢铁	hua ling gang tie	2
华融资产管理公司	hua rong zi chan guan li gong si	7
华西村	hua xi cun	44
华讯	hua xun	10
华资实业	hua zi shi ye	1
华远地产	hua yuan di chan	2
华银电力	hua yin dian li	1
华阳科技	hua yang ke ji	2
华陶	hua tao	9
华靖	hua jing	1
华鼎	hua ding	38
华鼎锦纶	hua ding jin lun	1
华龙集团	hua long ji tuan	3
协会章程	xie hui zhang cheng	15
协方差	xie fang cha	33
协调部	xie tiao bu	8
卓尔发展	zhuo er fa zhan	2
卓悦控股	zhuo yue kong gu	3
卓越理财	zhuo yue li cai	9
单币	dan bi	7
单币卡	dan bi ka	5
单选	dan xuan	3
卖空	mai kong	20
卖空者	mai kong zhe	2
卖超	mai chao	3
南京新港	nan jing xin gang	6
南京新百	nan jing xin bai	3
南京港	nan jing gang	9
南京港股份有限公司	nan jing gang gu fen you xian gong si	3
南京银行	nan jing yin hang	4
南化	nan hua	44
南华期货	nan hua qi huo	1
南华集团	nan hua ji tuan	3
南博网	nan bo wang	2
南国置业	nan guo zhi ye	3
南天信息	nan tian xin xi	3
南宁糖业	nan ning tang ye	3
南宁糖业股份有限公司	nan ning tang ye gu fen you xian gong si	4
南山铝业	nan shan lv ye	3
南开戈德	nan kai ge de	2
南控	nan kong	1
南方公司	nan fang gong si	8
南方建材股份有限公司	nan fang jian cai gu fen you xian gong si	4
南方汇通股份有限公司	nan fang hui tong gu fen you xian gong si	3
南油物业	nan you wu ye	4
南玻集团	nan bo ji tuan	7
南百	nan bai	4
南网	nan wang	1
南证	nan zheng	1
南通科技	nan tong ke ji	2
南顺	nan shun	7
博信	bo xin	31
博耳电力	bo er dian li	2
博讯	bo xun	13
博软	bo ruan	1
卡中心	ka zhong xin	6
卡包	ka bao	9
卡号	ka hao	14
卡夫食品	ka fu shi pin	8
卡样	ka yang	3
卡种	ka zhong	9
卡菲尔	ka fei er	6
卧龙地产	wo long di chan	2
即期	ji qi	18
厦华	xia hua	9
厦工股份	xia gong gu fen	2
厦新	xia xin	4
厦门信达	xia men xin da	5
厦门信达股份有限公司	xia men xin da gu fen you xian gong si	4
厦门厦工	xia men xia gong	4
厦门国贸	xia men guo mao	3
厦门国际银行	xia men guo ji yin hang	2
厦门路桥	xia men lu qiao	2
厦门钨业	xia men wu ye	5
参保	can bao	31
参保率	can bao lv	2
友达光电	you da guang dian	10
友邦华泰	you bang hua tai	3
友阿股份	you a gu fen	4
双币	shuang bi	3
双币卡	shuang bi ka	7
双平	shuang ping	2
双底	shuang di	7
双汇	shuang hui	33
双箭股份	shuang jian gu fen	2
双色球	shuang se qiu	3
双账户	shuang zhang hu	4
双赔	shuang pei	4
双马	shuang ma	17
反洗钱	fan xi qian	18
反洗钱法	fan xi qian fa	1
反馈单	fan kui dan	1
发卡银行	fa ka yin hang	19
发票管理办法	fa piao guan li ban fa	1
发票领购本	fa piao ling gou ben	2
发票领购簿	fa piao ling gou bu	4
发行价	fa xing jia	35
发行方案	fa xing fang an	2
发行期	fa xing qi	9
发行额	fa xing e	10
取现	qu xian	1
受损者	shou sun zhe	9
受理人	shou li ren	2
口令卡	kou ling ka	7
古币	gu bi	11
古汉集团	gu han ji tuan	3
古越龙山	gu yue long shan	2
古钱币	gu qian bi	29
可用资产	ke yong zi chan	3
史密森协定	shi mi sen xie ding	2
合伙制	he huo zhi	3
合兴集团	he xing ji tuan	2
合富辉煌	he fu hui huang	7
合并资产负债表	he bing zi chan fu zhai biao	2
合肥三洋	he fei san yang	8
合肥百货	he fei bai huo	4
合肥美菱股份有限公司	he fei mei ling gu fen you xian gong si	6
合臣	he chen	1
吉利汽车	ji li qi che	34
吉峰农机	ji feng nong ji	5
吉恩镍业	ji en nie ye	7
吉林制药股份有限公司	ji lin zhi yao gu fen you xian gong si	2
吉林化工	ji lin hua gong	3
吉林化纤	ji lin hua xian	6
吉林森工	ji lin sen gong	2
吉林炭素	ji lin tan su	2
吉纸	ji zhi	1
吉诺尔	ji nuo er	12
同洲电子	tong zhou dian zi	2
同济堂	tong ji tang	8
同花顺	tong hua shun	22
后市	hou shi	14
启动资金	qi dong zi jin	30
启明信息	qi ming xin xi	5
员工持股计划	yuan gong chi gu ji hua	3
和而泰	he er tai	2
和讯	he xun	4
咨询报告	zi xun bao gao	9
哈动力	ha dong li	3
哈慈	ha ci	4
哈投股份	ha tou gu fen	3
哈特佛	ha te fo	1
哈药股份	ha yao gu fen	1
哈药集团	ha yao ji tuan	10
哈里伯顿	ha li bo dun	14
哈飞航空	ha fei hang kong	3
哈高科	ha gao ke	5
唐山港	tang shan gang	8
唐陶	tang tao	2
售尽	shou jin	2
售楼处	shou lou chu	10
售楼部	shou lou bu	9
商业城	shang ye cheng	8
商业银行法	shang ye yin hang fa	6
商务周刊	shang wu zhou kan	2
商务英语	shang wu ying yu	19
商品市场	shang pin shi chang	14
商品期货	shang pin qi huo	17
商界评论	shang jie ping lun	5
商网	shang wang	2
商通卡	shang tong ka	1
嘉实	jia shi	15
嘉实恒生	jia shi heng sheng	2
嘉瑞	jia rui	42
四创	si chuang	3
四季度	si ji du	14
四川双马	si chuan shuang ma	7
四川圣达	si chuan sheng da	3
四川湖山	si chuan hu shan	3
四川电器	si chuan dian qi	3
四川经济日报	si chuan jing ji ri bao	1
四方达	si fang da	3
四洲集团	si zhou ji tuan	5
四维图新	si wei tu xin	4
四通	si tong	36
回天胶业	hui tian jiao ye	6
回报率	hui bao lv	43
回收期	hui shou qi	2
回档	hui dang	3
回次	hui ci	6
回调	hui tiao	14
团办	tuan ban	6
固定汇率制	gu ding hui lv zhi	1
固定资本	gu ding zi ben	1
固额	gu e	2
国九条	guo jiu tiao	2
国信证券	guo xin zheng quan	6
国富强债	guo fu qiang zhai	2
国富论	guo fu lun	19
国投	guo tou	41
国投瑞银	guo tou rui yin	5
国星光电	guo xing guang dian	3
国民银行	guo min yin hang	27
国泰上证	guo tai shang zheng	5
国泰双利	guo tai shuang li	3
国泰君安	guo tai jun an	29
国泰纳指	guo tai na zhi	4
国泰进取	guo tai jin qu	5
国泰金牛	guo tai jin niu	5
国泰金马	guo tai jin ma	3
国泰金鹏	guo tai jin peng	2
国泰金鹰	guo tai jin ying	5
国泰金鹿	guo tai jin lu	4
国泰金鼎	guo tai jin ding	4
国泰金龙	guo tai jin long	5
国海富兰克林	guo hai fu lan ke lin	7
国瓷	guo ci	1
国电	guo dian	24
国电南瑞	guo dian nan rui	2
国电南自	guo dian nan zi	2
国研网	guo yan wang	4
国统股份	guo tong gu fen	2
国网	guo wang	21
国美电器	guo mei dian qi	11
国联信托	guo lian xin tuo	3
国联安	guo lian an	4
国联安双禧	guo lian an shuang xi	3
国能	guo neng	7
国资局	guo zi ju	4
国通	guo tong	6
国阳新能	guo yang xin neng	3
国际商报	guo ji shang bao	1
国际大厦	guo ji da sha	23
国际收支	guo ji shou zhi	12
国际结算	guo ji jie suan	3
国际融资	guo ji rong zi	4
国际金融市场	guo ji jin rong shi chang	3
国际金融报	guo ji jin rong bao	2
国际银行	guo ji yin hang	39
圣方	sheng fang	8
圣莱达	sheng lai da	6
圣阳股份	sheng yang gu fen	3
圣雪绒	sheng xue rong	1
在线咨询	zai xian zi xun	2
地产股	di chan gu	2
地量	di liang	9
均线	jun xian	2
坏账率	huai zhang lv	9
垃圾股	la ji gu	9
城投控股	cheng tou kong gu	2
基期	ji qi	23
基民	ji min	10
基金合同	ji jin he tong	4
塑料钞	su liao chao	2
填权	tian quan	7
增值税普通发票	zeng zhi shui pu tong fa piao	1
增资额	zeng zi e	8
士兰微	shi lan wei	2
备付金	bei fu jin	10
备抵	bei di	1
备用费	bei yong fei	6
复旦复华	fu dan fu hua	4
复权	fu quan	45
夏新	xia xin	7
外国投资法	wai guo tou zi fa	1
外国直接投资	wai guo zhi jie tou zi	15
外国银行	wai guo yin hang	22
外汇交易	wai hui jiao yi	26
外汇宝	wai hui bao	4
外汇管制	wai hui guan zhi	14
外汇管理	wai hui guan li	18
外汇资产	wai hui zi chan	2
外汇资金	wai hui zi jin	10
外汇通	wai hui tong	4
外盘	wai pan	4
外管局	wai guan ju	1
外高桥	wai gao qiao	26
多伦股份	duo lun gu fen	8
多佳	duo jia	4
多氟多	duo fu duo	2
大东南	da dong nan	3
大东海	da dong hai	9
大中华集团	da zhong hua ji tuan	1
大中型企业	da zhong xing qi ye	9
大亚科技股份有限公司	da ya ke ji gu fen you xian gong si	2
大众交通	da zhong jiao tong	22
大众投资	da zhong tou zi	1
大众理财顾问	da zhong li cai gu wen	4
大冶特钢	da ye te gang	6
大冷	da leng	2
大化	da hua	10
大北农	da bei nong	1
大华农	da hua nong	11
大华股份	da hua gu fen	6
大华银行	da hua yin hang	13
大富科技	da fu ke ji	1
大庆华科	da qing hua ke	2
大摩	da mo	9
大智慧	da zhi hui	24
大有期货	da you qi huo	7
大牛市	da niu shi	10
大盈	da ying	7
大盘	da pan	15
大盘股	da pan gu	2
大秦铁路	da qin tie lu	22
大莱卡	da lai ka	2
大行情	da hang qing	6
大资金	da zi jin	5
大连港	da lian gang	27
大通曼哈顿银行	da tong man ha dun yin hang	4
大通银行	da tong yin hang	18
大降	da jiang	9
天伦置业	tian lun zhi ye	4
天利高新	tian li gao xin	4
天原集团	tian yuan ji tuan	2
天合光能	tian he guang neng	1
天喻信息	tian yu xin xi	2
天士力	tian shi li	8
天安	tian an	13
天宏	tian hong	13
天富	tian fu	8
天富热电	tian fu re dian	2
天广消防	tian guang xiao fang	3
天弘	tian hong	10
天弘丰利	tian hong feng li	2
天弘永定	tian hong yong ding	3
天方	tian fang	9
天桥百货	tian qiao bai huo	3
天治双盈	tian zhi shuang ying	2
天津普林	tian jin pu lin	4
天津松江	tian jin song jiang	31
天津海运	tian jin hai yun	7
天津港	tian jin gang	42
天润曲轴	tian run qu zhou	4
天源迪科	tian yuan di ke	1
天然碱	tian ran jian	1
天目药	tian mu yao	3
天目药业	tian mu yao ye	4
天虹商场	tian hong shang chang	6
