# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
七号桥	qi hao qiao	5
七号码头	qi hao ma tou	2
七号门	qi hao men	4
七圣南路	qi sheng nan lu	3
七圣庙	qi sheng miao	1
七圣路	qi sheng lu	4
七堡南	qi bao nan	2
七塔寺	qi ta si	10
七塘	qi tang	2
七孔桥	qi kong qiao	12
七宝山	qi bao shan	5
七宝路	qi bao lu	3
七宝镇	qi bao zhen	39
七家子	qi jia zi	9
七家湾	qi jia wan	14
七山乡	qi shan xiang	6
七府坟	qi fu fen	6
七建乡	qi jian xiang	2
七彩小康城	qi cai xiao kang cheng	4
七彩星城	qi cai xing cheng	6
七房	qi fang	11
七星井	qi xing jing	2
七星关	qi xing guan	37
七星园	qi xing yuan	2
七星园北社区	qi xing yuan bei she qu	2
七星园南社区	qi xing yuan nan she qu	2
七星岗	qi xing gang	22
七星岩	qi xing yan	38
七星市场	qi xing shi chang	1
七星桥村	qi xing qiao cun	2
七星椒	qi xing jiao	16
七星洞	qi xing dong	3
七星街	qi xing jie	2
七星路	qi xing lu	21
七条巷	qi tiao xiang	5
七样菜	qi yang cai	5
七格小区	qi ge xiao qu	4
七格村	qi ge cun	2
七桥	qi qiao	16
七棵松	qi ke song	1
七步沟	qi bu gou	1
七浦路	qi pu lu	15
七渡	qi du	4
七甲	qi jia	44
七甲闸村	qi jia zha cun	5
七画	qi hua	4
七管村	qi guan cun	2
七纬路	qi wei lu	5
七纺	qi fang	3
七经路	qi jing lu	1
七美	qi mei	6
七翘八拱	qi qiao ba gong	3
七莘路	qi xin lu	49
七角井	qi jiao jing	7
七角井镇	qi jiao jing zhen	4
七贤岭	qi xian ling	11
七贤桥	qi xian qiao	1
七贤路	qi xian lu	5
七连庄	qi lian zhuang	4
七道堰	qi dao yan	1
七道堰街	qi dao yan jie	5
七道岭乡	qi dao ling xiang	4
七道河	qi dao he	5
七道湾	qi dao wan	5
七里亭村	qi li ting cun	2
七里墩街道	qi li dun jie dao	3
七里山	qi li shan	10
七里山园艺场	qi li shan yuan yi chang	3
七里岗	qi li gang	1
七里庄	qi li zhuang	6
七里店	qi li dian	5
七里庙	qi li miao	3
七里村	qi li cun	6
七里沟	qi li gou	8
七里沟街道	qi li gou jie dao	2
七里渠	qi li qu	3
七里渠西桥	qi li qu xi qiao	2
七里湖街道	qi li hu jie dao	2
七里甸街道	qi li dian jie dao	1
七里畈	qi li fan	3
七里街	qi li jie	7
七里街道	qi li jie dao	5
七里香溪	qi li xiang xi	4
七马路	qi ma lu	7
万丈湖农场	wan zhang hu nong chang	3
万东路	wan dong lu	1
万丰	wan feng	41
万丰村	wan feng cun	4
万丰路南口	wan feng lu nan kou	3
万丰镇	wan feng zhen	4
万事利花园	wan shi li hua yuan	3
万事利集团	wan shi li ji tuan	6
万亩村	wan mu cun	4
万亩榴园	wan mu liu yuan	1
万人餐厅	wan ren can ting	2
万众村	wan zhong cun	3
万佛华侨陵园	wan fo hua qiao ling yuan	7
万佛山	wan fo shan	4
万佳百货	wan jia bai huo	6
万佳通	wan jia tong	4
万全道	wan quan dao	2
万利镇	wan li zhen	2
万博花园	wan bo hua yuan	2
万县市	wan xian shi	16
万合永镇	wan he yong zhen	2
万和源	wan he yuan	4
万和路	wan he lu	7
万商电脑城	wan shang dian nao cheng	3
万国广场	wan guo guang chang	4
万国金色家园	wan guo jin se jia yuan	4
万坪乡	wan ping xiang	3
万坪镇	wan ping zhen	5
万埠	wan bu	1
万基	wan ji	8
万子营	wan zi ying	1
万宁县	wan ning xian	16
万宁桥	wan ning qiao	28
万安山	wan an shan	14
万安村	wan an cun	3
万安路	wan an lu	3
万宜水库	wan yi shui ku	27
万宝湖	wan bao hu	2
万宝街	wan bao jie	1
万家丽	wan jia li	10
万家寨镇	wan jia zhai zhen	3
万家庄	wan jia zhuang	2
万家庄乡	wan jia zhuang xiang	3
万家桥	wan jia qiao	1
万家花城	wan jia hua cheng	1
万富	wan fu	33
万寨港	wan zhai gang	2
万寿中路	wan shou zhong lu	6
万寿公园	wan shou gong yuan	3
万寿场	wan shou chang	1
万寿塔	wan shou ta	4
万寿寺	wan shou si	37
万寿寺街	wan shou si jie	2
万寿庄	wan shou zhuang	2
万寿桥	wan shou qiao	6
万寿禅寺	wan shou chan si	7
万寿西宫	wan shou xi gong	7
万寿路	wan shou lu	24
万寿路北口	wan shou lu bei kou	5
万寿路南口	wan shou lu nan kou	2
万屋边	wan wu bian	1
万山湖	wan shan hu	4
万山特区	wan shan te qu	7
万岁街	wan sui jie	1
万峪河乡	wan yu he xiang	3
万峰林场	wan feng lin chang	2
万川	wan chuan	7
万川路	wan chuan lu	3
万年场	wan nian chang	26
万年场公交宿舍	wan nian chang gong jiao su she	4
万年胡同	wan nian hu tong	1
万年花城	wan nian hua cheng	8
万年路	wan nian lu	13
万庄	wan zhuang	6
万庄村	wan zhuang cun	6
万康	wan kang	1
万德庄	wan de zhuang	2
万德庄南北街	wan de zhuang nan bei jie	2
万德庄大街	wan de zhuang da jie	1
万德路	wan de lu	2
万新村	wan xin cun	6
万方乐奏有于阗	wan fang yue zou you yu tian	6
万春街	wan chun jie	2
万晟现代城	wan sheng xian dai cheng	2
万村村委会	wan cun cun wei hui	2
万杨	wan yang	5
万杰医院	wan jie yi yuan	1
万松岭	wan song ling	9
万松岭路口	wan song ling lu kou	3
万果园	wan guo yuan	3
万柏林区委	wan bai lin qu wei	7
万柳中路	wan liu zhong lu	6
万柳中路北口	wan liu zhong lu bei kou	2
万柳中路南口	wan liu zhong lu nan kou	4
万柳园社区	wan liu yuan she qu	3
万柳村	wan liu cun	4
万柳村大街	wan liu cun da jie	4
万柳村村	wan liu cun cun	2
万柳路	wan liu lu	5
万欣翠园	wan xin cui yuan	3
万民乡	wan min xiang	5
万江共和新城	wan jiang gong he xin cheng	6
万泉寺	wan quan si	7
万泉寺社区	wan quan si she qu	2
万泉庄	wan quan zhuang	9
万泉庄南社区	wan quan zhuang nan she qu	3
万泉河路	wan quan he lu	10
万泉路	wan quan lu	5
万洞	wan dong	4
万源县	wan yuan xian	2
万源市	wan yuan shi	9
万源街西口	wan yuan jie xi kou	2
万源路	wan yuan lu	28
万田	wan tian	6
万田乡政府	wan tian xiang zheng fu	3
万田村	wan tian cun	1
万盛石林	wan sheng shi lin	5
万祠巷	wan ci xiang	3
万福桥	wan fu qiao	3
万福河	wan fu he	10
万福社区	wan fu she qu	7
万福街道	wan fu jie dao	1
万福路	wan fu lu	10
万科上东区	wan ke shang dong qu	3
万科东郡	wan ke dong jun	5
万科光明城市	wan ke guang ming cheng shi	6
万科花园	wan ke hua yuan	9
万科金色家园	wan ke jin se jia yuan	8
万科魅力之城	wan ke mei li zhi cheng	1
万科魅力城	wan ke mei li cheng	4
万红西街	wan hong xi jie	5
万聚庄村	wan ju zhuang cun	3
万胜围	wan sheng wei	23
万航渡路	wan hang du lu	17
万花山乡	wan hua shan xiang	4
万芳桥东	wan fang qiao dong	4
万芳桥北	wan fang qiao bei	2
万英	wan ying	24
万荣小区	wan rong xiao qu	2
万荣路	wan rong lu	8
万虹	wan hong	2
万蛇	wan she	8
万谷	wan gu	2
万象园	wan xiang yuan	1
万载县工业园区	wan zai xian gong ye yuan qu	3
万达华府	wan da hua fu	7
万达江南明珠	wan da jiang nan ming zhu	3
万达紫金明珠	wan da zi jin ming zhu	4
万通大厦	wan tong da sha	1
万里城	wan li cheng	1
万里小区	wan li xiao qu	4
万里新村	wan li xin cun	3
万里桥	wan li qiao	7
万镇路	wan zhen lu	3
万青路街道	wan qing lu jie dao	3
万顺路	wan shun lu	5
万鱼	wan yu	6
万龙	wan long	9
丈人峰	zhang ren feng	1
丈八东村	zhang ba dong cun	4
丈八东路	zhang ba dong lu	3
丈八宾馆	zhang ba bin guan	5
丈八寺镇	zhang ba si zhen	2
三不老胡同	san bu lao hu tong	7
三丘田	san qiu tian	7
三两乡	san liang xiang	2
三中	san zhong	15
三中金山中学	san zhong jin shan zhong xue	3
三中金山校区	san zhong jin shan xiao qu	6
三义庙	san yi miao	11
三义庙社区	san yi miao she qu	4
三义村	san yi cun	3
三义桥	san yi qiao	2
三义泉镇	san yi quan zhen	1
三义里社区	san yi li she qu	2
三乐	san le	8
三乐路	san le lu	1
三乐路口	san le lu kou	1
三九医院	san jiu yi yuan	1
三乡村	san xiang cun	5
三二三医院	san er san yi yuan	4
三二村	san er cun	3
三五一一厂	san wu yi yi chang	3
三井巷	san jing xiang	2
三井胡同	san jing hu tong	4
三交乡	san jiao xiang	6
三会镇	san hui zhen	1
三保市场	san bao shi chang	3
三倒拐街	san dao guai jie	4
三元东桥西	san yuan dong qiao xi	2
三元居委会	san yuan ju wei hui	3
三元庵胡同	san yuan an hu tong	2
三元村	san yuan cun	1
三元桥	san yuan qiao	15
三元桥东站	san yuan qiao dong zhan	4
三元桥北	san yuan qiao bei	3
三元桥西站	san yuan qiao xi zhan	2
三元街	san yuan jie	1
三元路	san yuan lu	1
三元里	san yuan li	35
三兆村	san zhao cun	6
三八广场	san ba guang chang	6
三八村	san ba cun	6
三八路口	san ba lu kou	2
三八镇	san ba zhen	2
三公司	san gong si	11
三兴	san xing	8
三兴街	san xing jie	4
三农场	san nong chang	5
三凌	san ling	4
三凌村	san ling cun	2
三凤镇	san feng zhen	2
三分场	san fen chang	9
三北防护林带	san bei fang hu lin dai	3
三区三社区	san qu san she qu	3
三区二社区	san qu er she qu	3
三区社区	san qu she qu	4
三十中	san shi zhong	7
三十九中	san shi jiu zhong	1
三十六中	san shi liu zhong	4
三十六村	san shi liu cun	5
三十号乡	san shi hao xiang	1
三十四中	san shi si zhong	2
三十四团场	san shi si tuan chang	2
三十埠大桥	san shi bu da qiao	3
三十头乡	san shi tou xiang	5
三十都	san shi du	6
三十里铺	san shi li pu	18
三十顷地	san shi qing di	4
三千路	san qian lu	3
三华天运	san hua tian yun	3
三南	san nan	7
三卫村	san wei cun	4
三县洲大桥	san xian zhou da qiao	2
三叉村	san cha cun	4
三叉街	san cha jie	2
三叉街新村	san cha jie xin cun	5
三叉路	san cha lu	4
三友化工厂	san you hua gong chang	2
三友路北	san you lu bei	2
三友路南	san you lu nan	2
三叠泉	san die quan	16
三古乡	san gu xiang	2
三只耳	san zhi er	2
三台子	san tai zi	6
三台新村	san tai xin cun	2
三叶农场	san ye nong chang	2
三号井	san hao jing	1
三号地村	san hao di cun	2
三号桥	san hao qiao	10
三号桥市场	san hao qiao shi chang	2
三号路	san hao lu	12
三合南里	san he nan li	3
三合口	san he kou	1
三合小区	san he xiao qu	3
三合山	san he shan	2
三合庄	san he zhuang	12
三合庄园	san he zhuang yuan	3
三合店	san he dian	1
三合村委会	san he cun wei hui	4
三合村村委会	san he cun cun wei hui	4
三合街	san he jie	4
三吴	san wu	6
三吴村	san wu cun	2
三和	san he	11
三和学院	san he xue yuan	4
三和小区	san he xiao qu	3
三和开发区	san he kai fa qu	3
三善桥	san shan qiao	3
三嘉乡	san jia xiang	3
三围村	san wei cun	5
三圣寺	san sheng si	5
三圣庙	san sheng miao	5
三圣祠街	san sheng ci jie	3
三圣街	san sheng jie	3
三坑	san keng	8
三坑村	san keng cun	1
三块田	san kuai tian	2
三坝	san ba	7
三坝纳西族乡	san ba na xi zu xiang	2
三坨	san tuo	21
三坪	san ping	26
三坪农场	san ping nong chang	3
三垟	san yang	4
三埠	san bu	9
三埠街道办事处	san bu jie dao ban shi chu	3
三堡公寓	san bao gong yu	2
三堡社区	san bao she qu	1
三堤口街道	san di kou jie dao	2
三塔寺	san ta si	1
三塘公寓	san tang gong yu	5
三塘兰园	san tang lan yuan	3
三塘南村	san tang nan cun	4
三塘小区	san tang xiao qu	6
三塘桂园	san tang gui yuan	3
三塘樱园	san tang ying yuan	3
三塘汶苑	san tang wen yuan	4
三塘竹苑	san tang zhu yuan	1
三墩	san dun	49
三墩村	san dun cun	1
三墩镇政府	san dun zhen zheng fu	4
三多桥	san duo qiao	5
三多路	san duo lu	8
三天竺	san tian zhu	5
三天门	san tian men	3
三天门村	san tian men cun	3
三好街	san hao jie	9
三姓街	san xing jie	3
三娘湾	san niang wan	1
三孔桥	san kong qiao	4
三官堂	san guan tang	19
三官堂街	san guan tang jie	7
三官塘	san guan tang	1
三官庙	san guan miao	42
三官庙村	san guan miao cun	3
三官庙村委会	san guan miao cun wei hui	2
三官村	san guan cun	7
三官殿	san guan dian	32
三官洞林区	san guan dong lin qu	2
三宫回族乡	san gong hui zu xiang	3
三宫殿	san gong dian	4
三家庄	san jia zhuang	6
三家店后街	san jia dian hou jie	2
三家店火车站	san jia dian huo che zhan	1
三家店街道	san jia dian jie dao	3
三家村	san jia cun	41
三家馆乡	san jia guan xiang	6
三将军	san jiang jun	6
三屯碑	san tun bei	16
三山园社区	san shan yuan she qu	2
三山岛	san shan dao	9
三山新新家园	san shan xin xin jia yuan	3
三山村	san shan cun	9
三山矶	san shan ji	1
三山街	san shan jie	17
三山门	san shan men	4
三山陵园	san shan ling yuan	2
三岔口	san cha kou	36
三岔子	san cha zi	6
三岔沟	san cha gou	5
三岔河	san cha he	22
三岔河南站	san cha he nan zhan	3
三岔港	san cha gang	5
三岭	san ling	11
三岭村	san ling cun	6
三岸	san an	18
三峡人才市场	san xia ren cai shi chang	3
三峡农行	san xia nong hang	4
三峡医院	san xia yi yuan	5
三峡卷烟厂	san xia juan yan chang	3
三峡坝区	san xia ba qu	3
三峡大学	san xia da xue	23
三峡学院	san xia xue yuan	9
三峡宾馆	san xia bin guan	1
三峡广场	san xia guang chang	43
三峡镇	san xia zhen	9
三峰	san feng	9
三工街道	san gong jie dao	5
三市	san shi	14
三市立交桥	san shi li jiao qiao	3
三平镇街道	san ping zhen jie dao	2
三广村	san guang cun	4
三庙	san miao	23
三庙乡	san miao xiang	2
三府湾	san fu wan	9
三府湾西口	san fu wan xi kou	2
三座坟	san zuo fen	4
三座桥	san zuo qiao	17
三座桥胡同	san zuo qiao hu tong	1
三廊庙	san lang miao	9
三建中学	san jian zhong xue	3
三建学校	san jian xue xiao	2
三弄乡	san nong xiang	3
三弄瑶族乡	san nong yao zu xiang	3
三张镇	san zhang zhen	1
三德大酒店	san de da jiu dian	3
三思乡	san si xiang	2
三成局村	san cheng ju cun	3
三招	san zhao	12
三教堂	san jiao tang	6
三斗	san dou	7
三新	san xin	11
三新村	san xin cun	2
三新路	san xin lu	6
三星大厦	san xing da sha	3
三星庄	san xing zhuang	3
三星庄南口	san xing zhuang nan kou	2
三星庄村	san xing zhuang cun	1
三星村	san xing cun	1
三星桥	san xing qiao	3
三星酒店	san xing jiu dian	8
三望坡	san wang po	3
三木小区	san mu xiao qu	3
三朱	san zhu	3
三朱村	san zhu cun	3
三村村	san cun cun	4
三条墩	san tiao dun	4
三条巷	san tiao xiang	4
三条石大街	san tiao shi da jie	3
三条营	san tiao ying	9
三板小学	san ban xiao xue	3
三板市场	san ban shi chang	8
三板桥	san ban qiao	11
三林	san lin	11
三林中学	san lin zhong xue	1
三林城	san lin cheng	6
三林塘	san lin tang	4
三林村	san lin cun	4
三栋屋	san dong wu	17
三栋楼	san dong lou	13
三桂	san gui	13
三桂村	san gui cun	5
三桥东	san qiao dong	1
三桥交易市场	san qiao jiao yi shi chang	2
三桥农贸市场	san qiao nong mao shi chang	4
三桥南岸	san qiao nan an	4
三桥村	san qiao cun	2
三梅	san mei	5
三梅村	san mei cun	2
三森国际家居	san sen guo ji jia ju	6
三森建材城	san sen jian cai cheng	3
三槐堂	san huai tang	3
三欧	san ou	4
三欧村	san ou cun	2
三步两桥	san bu liang qiao	1
三殿村	san dian cun	2
三民村	san min cun	14
三民街	san min jie	1
三水厂	san shui chang	3
三水县	san shui xian	33
三水市	san shui shi	46
三水湾小区	san shui wan xiao qu	2
三水湾菜场	san shui wan cai chang	4
三水道	san shui dao	3
三永湖	san yong hu	1
三汊矶大桥	san cha ji da qiao	9
三江县	san jiang xian	3
三江口	san jiang kou	32
三江大道	san jiang da dao	1
三江并流	san jiang bing liu	4
三江村	san jiang cun	1
三江桥	san jiang qiao	5
三江桥头	san jiang qiao tou	3
三江楼	san jiang lou	1
三江汇流	san jiang hui liu	3
三江花园	san jiang hua yuan	3
三江路	san jiang lu	6
三汽公司	san qi gong si	18
三河县	san he xian	46
三河口	san he kou	7
三河口乡	san he kou xiang	1
三河坝乡	san he ba xiang	3
三河尖乡	san he jian xiang	3
三河马场	san he ma chang	3
三沿	san yan	8
三泉	san quan	35
三泉路	san quan lu	4
三泰街	san tai jie	6
三洋村	san yang cun	1
三洞桥街道	san dong qiao jie dao	4
三洪奇	san hong qi	3
三洲	san zhou	29
三洲山村	san zhou shan cun	2
三洲市场	san zhou shi chang	4
三洲村	san zhou cun	2
三洲驿街道	san zhou yi jie dao	6
三浃	san jia	4
三清观	san qing guan	1
三渡	san du	9
三渡水	san du shui	1
三港	san gang	9
三游洞	san you dong	5
三湖村	san hu cun	1
三湘海尚花园	san xiang hai shang hua yuan	4
三湾村	san wan cun	8
三源村	san yuan cun	2
三源胡同	san yuan hu tong	2
三溪村	san xi cun	4
三溪水	san xi shui	3
三溪水库	san xi shui ku	3
三潭路	san tan lu	4
三灶	san zao	38
三灶医院	san zao yi yuan	5
三灶街	san zao jie	3
三灶车站	san zao che zhan	3
三炷香	san zhu xiang	21
三点金	san dian jin	2
三烈乡	san lie xiang	3
三牌楼	san pai lou	23
三猛乡	san meng xiang	1
三王庄村	san wang zhuang cun	4
三王庙	san wang miao	2
三王村	san wang cun	3
三王街	san wang jie	7
三环公司	san huan gong si	6
三环新城英和医院	san huan xin cheng ying he yi yuan	2
三环路口	san huan lu kou	6
三环路川陕立交桥北	san huan lu chuan shan li jiao qiao bei	4
三环路川陕立交桥南	san huan lu chuan shan li jiao qiao nan	5
三环路成渝立交桥北	san huan lu cheng yu li jiao qiao bei	4
三环路成渝立交桥南	san huan lu cheng yu li jiao qiao nan	3
三环路琉璃立交桥南	san huan lu liu li li jiao qiao nan	3
三环路石羊立交桥北	san huan lu shi yang li jiao qiao bei	2
三环路羊犀立交桥北	san huan lu yang xi li jiao qiao bei	3
三环路蓝天立交桥	san huan lu lan tian li jiao qiao	4
三班村	san ban cun	3
三电厂	san dian chang	5
三画	san hua	6
三疗社区	san liao she qu	2
三白山村	san bai shan cun	2
三益公司	san yi gong si	3
三眼井胡同	san yan jing hu tong	2
三眼桥	san yan qiao	17
三眼桥街道	san yan qiao jie dao	5
三码头	san ma tou	4
三福庄	san fu zhuang	4
三秀路	san xiu lu	6
三穗	san sui	17
三窑	san yao	4
三级站	san ji zhan	1
三经街	san jing jie	4
三经路	san jing lu	1
三给村	san gei cun	6
三维桥	san wei qiao	5
三老四严	san lao si yan	1
三联村	san lian cun	4
三股泉村	san gu quan cun	3
三芝乡	san zhi xiang	7
三花石乡	san hua shi xiang	2
三苏木乡	san su mu xiang	3
三营宿舍	san ying su she	3
三营盘	san ying pan	1
三营门	san ying men	1
三营门南	san ying men nan	3
三营门社区	san ying men she qu	4
三街坊	san jie fang	6
三街小学	san jie xiao xue	3
三角井	san jiao jing	3
三角地第一社区	san jiao di di yi she qu	3
三角地第二社区	san jiao di di er she qu	4
三角场	san jiao chang	4
三角坑	san jiao keng	4
三角坝	san jiao ba	1
三角城	san jiao cheng	17
三角埔	san jiao bu	18
三角埕	san jiao cheng	3
三角塘	san jiao tang	1
三角山	san jiao shan	8
三角巷口	san jiao xiang kou	3
三角村	san jiao cun	1
三角桥	san jiao qiao	3
三角池	san jiao chi	1
三角湖	san jiao hu	7
三角窝	san jiao wo	4
三角花园	san jiao hua yuan	24
三角道	san jiao dao	4
三角门	san jiao men	3
三解	san jie	1
三贵街	san gui jie	5
三路口	san lu kou	22
三路居	san lu ju	7
三路居社区	san lu ju she qu	3
三路里镇	san lu li zhen	1
三连点	san lian dian	3
三道关	san dao guan	3
三道堰	san dao yan	7
三道岭	san dao ling	14
三道岭矿区	san dao ling kuang qu	4
三道川乡	san dao chuan xiang	2
三道拐	san dao guai	3
三道栅栏	san dao zha lan	3
三道栅栏胡同	san dao zha lan hu tong	4
三道桥	san dao qiao	9
三道桥镇	san dao qiao zhen	1
三道沟	san dao gou	10
三道沟村	san dao gou cun	2
三道湾	san dao wan	2
三郎桥	san lang qiao	3
三里	san li	11
三里亭	san li ting	5
三里亭小区	san li ting xiao qu	1
三里亭村	san li ting cun	3
三里垅	san li long	5
三里墩	san li dun	1
三里庄	san li zhuang	4
三里店	san li dian	4
三里店大圆盘	san li dian da yuan pan	1
三里村	san li cun	5
三里桥路	san li qiao lu	3
三里河一区社区	san li he yi qu she qu	3
三里河东口	san li he dong kou	3
三里河东路南口	san li he dong lu nan kou	5
三里河乡	san li he xiang	2
三里洞街道	san li dong jie dao	3
三里湾街道	san li wan jie dao	3
三重市	san chong shi	24
三金药业	san jin yao ye	1
三锅乡	san guo xiang	5
三长村	san chang cun	1
三门中学	san men zhong xue	5
三门村	san men cun	1
三门滩	san men tan	1
三门路	san men lu	7
三门里	san men li	4
三间房东村	san jian fang dong cun	2
三间房西村	san jian fang xi cun	2
三阳村	san yang cun	5
三阳路	san yang lu	2
三陂	san bei	2
三雁	san yan	3
三青村	san qing cun	3
三马路	san ma lu	16
三高公司	san gao gong si	3
三高农业示范区	san gao nong ye shi fan qu	2
三高路	san gao lu	6
三黄庄村	san huang zhuang cun	2
三龙村	san long cun	1
上三路	shang san lu	2
上三路口	shang san lu kou	4
上三里	shang san li	4
上下九步行街	shang xia jiu bu xing jie	6
上下川	shang xia chuan	2
上东国际	shang dong guo ji	7
上东廓	shang dong kuo	5
上东村	shang dong cun	2
上中	shang zhong	11
上中西路	shang zhong xi lu	6
上中路	shang zhong lu	4
上丰村	shang feng cun	2
上九东	shang jiu dong	1
上云	shang yun	9
上云村	shang yun cun	2
上亚东乡	shang ya dong xiang	5
上伊	shang yi	5
上佳市	shang jia shi	1
上佳市小学	shang jia shi xiao xue	3
上佳市市场	shang jia shi shi chang	3
上僚	shang liao	5
上元门	shang yuan men	4
上党郡	shang dang jun	41
上八寨乡	shang ba zhai xiang	4
上八庙镇	shang ba miao zhen	4
上兰街道	shang lan jie dao	4
上农新村	shang nong xin cun	4
上冯村	shang feng cun	3
上冲总站	shang chong zong zhan	7
上冲检查站	shang chong jian cha zhan	1
上净水	shang jing shui	1
上凹	shang ao	5
上北良村	shang bei liang cun	2
上升乡	shang sheng xiang	1
上升村	shang sheng cun	6
上午通	shang wu tong	3
上华	shang hua	7
上华村	shang hua cun	5
上南中学	shang nan zhong xue	6
上南二村	shang nan er cun	3
上南新村	shang nan xin cun	2
上南村	shang nan cun	3
上南花苑	shang nan hua yuan	3
上南路	shang nan lu	44
上厅	shang ting	6
上厅村	shang ting cun	2
上厝	shang cuo	4
上厝村	shang cuo cun	2
上司乡	shang si xiang	4
上司源乡	shang si yuan xiang	4
上合村	shang he cun	6
上后街	shang hou jie	4
上吴村	shang wu cun	4
上周村	shang zhou cun	1
上喇叭	shang la ba	6
上团	shang tuan	7
上团乡	shang tuan xiang	2
上园	shang yuan	8
上围新村	shang wei xin cun	2
上固乡	shang gu xiang	2
上国强胡同	shang guo qiang hu tong	2
上圩村	shang wei cun	4
上地	shang di	11
上地七街	shang di qi jie	5
上地五街	shang di wu jie	2
上地佳园	shang di jia yuan	4
上地南口	shang di nan kou	4
上地南路	shang di nan lu	5
上地村	shang di cun	2
上地桥东	shang di qiao dong	3
上地环岛东	shang di huan dao dong	3
上地环岛南	shang di huan dao nan	3
