# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词|假名	[词性. ]译词|假名
㑇	n. 㑇
一个人睡	phr. 一人で寝る|ひとりでねる
一个人走	phr. 一人で歩く|ひとりであるく
一个亿	phr. 一億|いちおく
一个例子	phr. 一つの例|ひとつのれい
一个冬天	n. 一冬|ひとふゆ
一个分支	phr. 一つの枝|ひとつのえだ
一个劲	adv. ひたすら|ひたすら
一个劲儿	adv. ひたすら|ひたすら
一个包	phr. 一つのかばん|ひとつのかばん
一个区	phr. 一つの区|ひとつのく
一个半	num. 一つ半|ひとつはん
一个半个	phr. 一つ二つ|ひとつふたつ
一个县	phr. 一つの県|ひとつのけん
一个吃货	phr. 食いしん坊|くいしんぼう
一个同学	phr. 同級生一人|どうきゅうせいひとり
一个吗	phr. 一つ？
一个吧	phr. 一つにしよう|ひとつにしよう
一个吻	phr. キス一つ|キスひとつ
一个啊	phr. 一つだよ|ひとつだよ
一个团	phr. 一個連隊|いっこれんたい
一个国家	phr. 一つの国|ひとつのくに
一个地方	phr. 一つの場所|ひとつのばしょ
一个城市	phr. 一つの都市|ひとつのとし
一个多月	phr. 一ヶ月以上|いっかげついじょう
一个女人	n. 一人の女|ひとりのおんな
一个女儿	phr. 一人の娘|ひとりのむすめ
一个女子	phr. 一人の女性|ひとりのじょせい
一个女孩	phr. 一人の少女|ひとりのしょうじょ
一个女生	phr. 女の子|おんなのこ
一个女的	phr. 女の人|おんなのひと
一个好人	phr. いい人|いいひと
一个好的	phr. 良いもの|よいもの
一个字	phr. 一文字|ひともじ
一个孩子	phr. 一人の子供|ひとりのこども
一个家	phr. 一つの家|ひとつ の いえ
一个小孩	phr. 一人の子供|ひとりのこども
一个小时	n. 一時間|いちじかん
一个小镇	phr. 小さな町|ちいさなまち
一个巴掌拍不响	phr. 両成敗|りょうせいばい
一个市	phr. 一つの市|ひとつのし
一个心眼儿	phr. 一途|いちず
一个愿望	n. 一つの願い|ひとつのねがい
一个故事	phr. 一つの物語|ひとつのものがたり
一个新的	phr. 新しいもの|あたらしいもの
一个星期	phr. 一週間|いっしゅうかん
一个是	phr. 一つは|ひとつは
一个晚上	n. 一晩|ひとばん
一个普通	phr. 普通の|ふつうの
一个暑假	n. 一夏休み|ひとつなつやすみ
一个月	phr. 一ヶ月|いっかげつ
一个月了	phr. 一ヶ月経った|いっかげつたった
一个月内	phr. 一ヶ月以内|いっかげついない
一个月前	phr. 一ヶ月前|いっかげつまえ
一个月后	phr. 一ヶ月後|いっかげつご
一个朋友	phr. 一人の友達|ひとりのともだち
一个机会	phr. 一つの機会|ひとつのかい
一个村	phr. 一つの村|ひとつのむら
一个样	phr. 同じ|おなじ
一个没有	phr. 一つもない|ひとつもない
一个游戏	phr. 一つのゲーム|ひとつのげーむ
一个独立	phr. 独立した|どくりつした
一个班	phr. 一クラス|いちくらす
一个球	n. ボール一つ|ぼーるひとつ
一个理由	n. 一つの理由|ひとつのりゆう
一个男人	phr. 一人の男|ひとりのおとこ
一个男子	n. 一人の男|ひとりのおとこ
一个目标	phr. 一つの目標|ひとつのもくひょう
一个省	n. 一つの省|ひとつのしょう
一个苹果	phr. りんご一つ|りんごひとつ
一个萝卜一个坑	phr. 一つずつ|ひとつずつ
一个角色	n. 一役|ひとやく
一个词	n. 一語|いちご
一个赞	phr. いいね一つ|いいねひとつ
一个道理	phr. 同じ道理|おなじどうり
一个都没	phr. 一つもない|ひとつもない
一个钟	phr. 一時間|いちじかん
一个问题	phr. 一つの問題|ひとつのもんだい
一个陌生	phr. 見知らぬ|みしらぬ
一个非	phr. 一つの非|ひとつのひ
一中	n. 一中|いっちゅう
一串	m. 一連の|いちれんの
一串红大造桥虫	n. サルビアのシャクトリムシ|さるびあのしゃくとりむし
一串红小地老虎	n. サルビアのキリガ|さるびあのきりが
一串红朱砂叶螨	n. サルビアのハダニ|さるびあのはだに
一串红白粉虱	n. サルビアのコナジラミ|さるびあのこなじらみ
一串红白粉蝶	n. サルビアのモンシロチョウ|さるびあのもんしろちょう
一串红绿盲蝽	n. サルビアのアオカスミカメ|さるびあのあおかすみかめ
一串红银纹夜蛾	n. サルビアのイラクサギンウワバ|さるびあのいらくさぎんうわば
一串铃法	phr. 連鎖法|れんさほう
一为迁客去长沙	phr. 一度遷客となり長沙へ行く|いちどせんかくとなりちょうさへいく
一主六配	phr. 一主六配|いちしゅろくはい
一举	adv. 一挙に|いっきょに
一举一动	phr. 一挙一動|いっきょいちどう
一举两得	phr. 一石二鳥|いっせきにちょう
一举成功	phr. 一挙に成功する|いっきょにせいこうする
一举成名	phr. 一躍有名になる|いちやくゆうめいになる
一举成名天下知	phr. 一挙成名天下知|いっきょせいめいてんかしる
一举累十觞	phr. 一挙に十杯を重ねる|いっきょにじゅっぱいをかさねる
一之濑	n. 一ノ瀬|いちのせ
一乡之善士	phr. 一郷の善士|いっきょうのぜんし
一书	n. 一冊の本|いっさつのほん
一书中	phr. 一冊の本の中で|いっさつのほんのなかで
一了百了	phr. 一了百了|いちりょうひゃくりょう
一争高低	phr. 競い合う|きそいあう
一事	n. 一事|いちじ
一事一议制度	n. 一事一議制度|いちじいちぎせいど
一事不再理	phr. 一事不再理|いちじふさいり
一事不再罚原则	n. 一事不再罰の原則|いちじふさいばつのげんそく
一事无成	phr. 何も成し遂げない|なにもなしとげない
一事无成百不堪	phr. 無能無才|むのうむさい
一二	num. 一二|いちに
一二三	num. 一二三|いちにさん
一二九街	n. 一二九街|いちにきゅうがい
一二八纪念路	n. 一二八記念路|いちにいはちきねんろ
一二条社区	n. 一二条コミュニティ|いちにじょうコミュニティ
一二档	n. 一速二速|いっそくにそく
一二老寡妻	phr. 一二人の老寡妻|いちににんのろうかさい
一五一十	phr. 一部始終|いちぶしじゅう
一些	m. いくつか|いくつか
一些东西	phr. いくつかのもの|いくつかのもの
一些事	phr. いくつかのこと|いくつかのこと
一些事情	phr. いくつかのこと|いくつかのこと
一些人	n. 一部の人々|いちぶのひとびと
一些问题	phr. いくつかの問題|いくつかのもんだい
一亩园	n. 一畝園|いちぼえん
一亩园社区	n. 一畝園コミュニティ|いちぼえんこみゅにてぃ
一人	n. 一人|ひとり
一人之下	phr. 一人の下|いちにんのした
一人之下万人之上	phr. 一人の下万人の上|いちにんのもとばんにんのうえ
一人做事一人当	phr. 一人で責任を取る|ひとりでせきにんをとる
一人口插几张匙	phr. 一人の口に幾つ匙を挿す|ひとりのくちにいくつさじをさす
一人巷	n. 一人用の路地|ひとりようのろじ
一人得道	phr. 一人得道|いちにんとくどう
一人得道鸡犬升天	phr. 一人が悟れば鶏犬も天に昇る|ひとりがさとればけいけんもてんにのぼる
一亿	num. 一億|いちおく
一介书生	phr. 一介の書生|いっかいのしょせい
一从大地起风雷	phr. 大地から風雷が起こる|だいちからふうらいがおこる
一代	n. 世代|せだい
一代不如一代	phr. 世代が下がるほど劣る|せだいがさがるほどおとる
一代人	n. 一世代|いちせだい
一代新人换旧人	phr. 一代の新人が旧人に代わる|いちだいのしんじんがきゅうじんにかわる
一代楷模	phr. 一代の模範|いちだいのもはん
一代繁华地	phr. 一代の繁華の地|いちだいのはんかのち
一以贯之	phr. 一貫する|いっかんする
一件	m. 一つ|ひとつ
一件事	phr. 一つのこと|ひとつのこと
一件事情	n. 一つの事|ひとつのこと
一件衣服	phr. 服一枚|ふくいちまい
一任	n. 任期|にんき
一任群芳妒	phr. 花々の妬みに任せる|はなばなのねたみにまかせる
一份	m. 一部|いちぶ
一众	n. 一群|いちぐん
一伙	n. 一団|いちだん
一伙儿	n. 一団|いちだん
一会	n. しばらく|しばらく
一会儿	n. しばらく|しばらく
一会去	phr. 後で行く|あとでいく
一传十十传百	phr. 伝染するように広まる|でんせんするようにひろまる
一位	m. 一人|ひとり
一体	n. 一体|いったい
一体化	n. 一体化|いったいか
一例	n. 一例|いちれい
一侧	n. 片側|かたがわ
一倍	num. 一倍|いちばい
一元	num. 一元|いちげん
一元化	n. 一元化|いちげんか
一元复始	phr. 一元復始|いちげんふくし
一元多项式	n. 一変数多項式|いちへんすうたこうしき
一元论	n. 一元論|いちげんろん
一入	phr. 入ると|はいる と
一入凄凉耳	phr. 一たび凄凉の耳に入る|ひとたびせいりょうのみみにいる
一公司	n. 第一会社|だいいちがいしゃ
一公园	n. 一公園|いちこうえん
一六一医院	n. 一六一病院|いちろくいちびょういん
一六八医院	n. 一六八医院|いちろくはちいいん
一共	adv. 全部で|ぜんぶで
一关	phr. 一関|いっかん
一具	m. 一つの|ひとつの
一册	m. 一冊|いっさつ
一再	adv. 再三|さいさん
一军	n. 一軍|いちぐん
一决胜负	phr. 勝負を決する|しょうぶをけっする
一决雌雄	phr. 雌雄を決する|しゆうをけっする
一准	adv. 必ず|かならず
一凶一吉在眼前	phr. 吉凶が目の前にある|きっきょうがめのまえにある
一出	m. 一幕|ひとまく
一出来	phr. 出てくる|でてくる
一出门	phr. 一出かけると|いちでかけると
一击	n. 一撃|いちげき
一刀	n. 一刀|いっとう
一刀两断	phr. 一刀両断|いっとうりょうだん
一刀切	phr. 一律に切る|いちりつにきる
一分	n. 一分|いっぷん
一分一毫	phr. 少し|すこし
一分为二	phr. 一分为二|いちぶんに
一分场	n. 第一分場|だいいちぶんじょう
一分耕耘一分收获	phr. 努力は報われる|どりょくはむくわれる
一分钟	phr. 一分間|いっぷんかん
一分钱	n. 一銭|いっせん
一切	pron. すべて|すべて
一切众生	phr. 一切衆生|いっさいしゅじょう
一切危险保险合同	phr. 全危険保険契約|ぜんきけんほけんけいやく
一切可能措施	n. あらゆる可能な措置|あらゆるかのうなそち
一切合理措施	phr. 一切の合理的措置|いっさいのごうりてきそち
一切安好	phr. 万事順調|ばんじじゅんちょう
一切平安	phr. すべて無事|すべてぶじ
一切必要措施	phr. あらゆる必要な措置|あらゆるひつようなそち
一切正常	phr. すべて正常|すべてせいじょう
一切都	phr. すべてが|すべてが
一切都会	phr. すべては〜するだろう|すべては〜するだろう
一切都是	phr. すべては〜|すべては〜
一切顺利	phr. すべて順調|すべてじゅんちょう
一列	m. 一列|いちれつ
一则	m. 一つの|ひとつの
一则以喜	phr. 一則以喜|いっそくをもってよろこぶ
一别	phr. 別れ|わかれ
一别二十年	phr. 別れて二十年|わかれてにじゅうねん
一别旧游尽	phr. 一別すれば旧遊尽く|いちべつすればきゅうゆうつくす
一别武功去	phr. 一別して武功を去る|いちべつしてぶこうをさる
一到	phr. 着くと|つくと
一到晚上	phr. 夜になると|よるになると
一刷	v. 一回スワイプ|いっかいスワイプ
一刹那	n. 一瞬|いっしゅん
一刻	n. 一刻|いっこく
一剂	m. 一服|いっぷく
一副	m. 一組|ひとくみ
一加	n. ワンプラス|ワンプラス
一动	v. 動く|うごく
一动不动	phr. じっと動かない|じっとうごかない
一动不如一静	phr. 動くより静かにするに如かず|うごくよりしずかにするにしかず
一劳永逸	phr. 一労永逸|いちろうえいいつ
一勺	phr. 一さじ|ひとさじ
一包	m. 一包|いっぱう
一化性柞蚕	n. 一化性の柞蚕|いっかせいのさくさん
一匹	m. 一匹|いっぴき
一区	n. 一区|いっく
一医	n. 第一医|だいいちい
一医院	n. 第一病院|だいいちびょういん
一千	num. 千|せん
一千万	num. 一千万|いっせんまん
一千个	num. 千個|せんこ
一千五百年间事	phr. 一千五百年の間の事|いっせんごひゃくねんのあいだのこと
一千块	n. 千元|せんげん
一千多	num. 千以上|せんいじょう
一半	n. 半分|はんぶん
一半一半	phr. 半分半分|はんぶんはんぶん
一半了	phr. 半分になった|はんぶんになった
一半天	phr. 一両日|いちりょうじつ
一半是	phr. 半分は|はんぶんは
一半的	adj. 半分の|はんぶんの
一单	n. 一注文|いっちゅうもん
一卡通	n. 一卡通|いっかつう
一卦	n. 一卦|いっか
一卧沧江惊岁晚	phr. 川辺に横たわり歳晩に驚く|かわべに よこたわり さいばんに おどろく
一卵孵双凤	phr. 一卵双鳳|いちらんそうほう
一卷	n. 一巻|いっかん
一卷冰雪文	phr. 一卷の冰雪文|いっかんのひょうせつぶん
一厢情愿	phr. 片思い|かたおもい
一去	v. 一度行く|いちどいく
一去一万里	phr. 行けば一万里|いけばいちまんり
一去三十年	phr. 一去三十年|いっきょさんじゅうねん
一去不复返	phr. 帰らぬ人となる|かえらぬひととなる
一去可怜终不返	phr. 一去憐れむべき終に返らず|いっきょあわれむべきついにかえらず
一去无踪迹	phr. 一去蹤跡なし|いっきょしょうせきなし
一去紫台连朔漠	phr. 紫台を去りて朔漠に連なる|しだいをさりてさくばくにつらなる
一参一控	phr. 一参一控|いっさんいっこう
一双	m. 一足|いっそく
一双鞋	n. 一足の靴|いっそくのくつ
一反常态	phr. いつもと違う|いつもとちがう
一发	m. 一発|いっぱつ
一发千钧	phr. 危機一髪|ききいっぱつ
一发而不可收拾	phr. 手がつけられなくなる|てがつけられなくなる
一受其成形	phr. 一たび其の形を受け|ひとたびそのかたちをうけ
一口	m. 一口|ひとくち
一口一个	phr. 口々に|くちぐちに
一口一声	phr. 口を揃えて|くちをそろえて
一口吃个胖子	phr. 一気に太ろうとする|いっきにふとろうとする
一口咬定	phr. 断言する|だんげんする
一口气	phr. 一気に|いっきに
一口酥	n. 一口酥|ひとくちそ
一口闷	phr. 一気に飲む|いっきにのむ
一句	m. 一言|ひとこと
一句十回吟	phr. 一句を十回吟じる|いっくをじゅっかいぎんじる
一句话	phr. 一言|ひとこと
一只	m. 一匹|いっぴき
一只手	n. 片手|かたて
一只狗	phr. 一匹の犬|いっぴきのいぬ
一只猫	phr. 一匹の猫|いっぴきのねこ
一只眼睛	phr. 片目|かため
一叫一回肠一断	phr. 一叫一回腸一断|いっきょういっかいちょういちだん
一可以为法则	phr. 法則とすることができる|ほうそくとすることができる
一台	m. 一台|いちだい
一叶浮萍归大海	phr. 一葉の浮萍大海に帰す|いちようのふへいだいかいにかえす
一叶知秋	phr. 一葉落ちて天下の秋を知る|いちようおちててんかのあきをしる
一叶荻	n. ヒメハギ|ひめはぎ
一叶轻舟寄渺茫	phr. 一葉の小舟を渺茫に託す|いちようにのこぶねをびょうぼうにたくす
一叶随风忽报秋	phr. 一葉風に随いて忽ち秋を報ず|いちようかぜにしたがいてたちまちあきをほうず
一叶障目	phr. 一葉目を遮る|いちようめをさえぎる
一叶障目不见泰山	phr. 木の葉で目を遮れば泰山も見えない|このはでめをさえぎればたいざんもみえない
一号	n. 一号|いちごう
一号半红龙	n. 一号半紅竜|いちごうはんこうりゅう
一号桥	n. 一号橋|いちごうばし
一号立井	n. 一号立坑|いちごうたてこう
一号线	n. 一号線|いちごうせん
一号船闸	n. 一号閘門|いちごうこうもん
一号路	n. 一号路|いちごうろ
一号路四号大街口	n. 一号路四号大街の角|いちごうろよんごうたいがいのかど
一号闸	n. 一号閘|いちごうこう
一吃	v. 一口食べる|ひとくちたべる
一同	adv. 一緒に|いっしょに
一同前往	phr. 一緒に行く|いっしょにいく
一名	phr. 一人の|ひとりの
一吐为快	phr. 胸のつかえを下ろす|むねのつかえをおろす
一向	adv. ずっと|ずっと
一吟双泪流	phr. 一吟双涙流|いちぎんそうるいりゅう
一吨	phr. 一トン|いちとん
一听	adv. 聞くと|きくと
一听到	v. 聞くとすぐ|きくとすぐ
一吹	v. 一吹き|ひとふき
一吻	n. 一つのキス|ひとつのキス
一告九不理	phr. 一告九不理|いっこくきゅうふり
一员	n. 一員|いちいん
一周	n. 一週間|いっしゅうかん
一周一次	phr. 週に一度|しゅう に いちど
一周内	phr. 一週間以内|いっしゅうかんいない
一周后	phr. 一週間後|いっしゅうかんご
一周年	n. 一周年|いっしゅうねん
一味	adv. ひたすら|ひたすら
一呼百应	phr. 一呼百応|いっこひゃくおう
一呼百诺	phr. 一呼百応|いっこひゃくおう
一命呜呼	phr. 死ぬ|しぬ
一命归西	phr. 命が西に帰す|いのちがにしにきす
一品	n. 一品|いっぴん
一品南乳肉	n. 一品南乳肉|いっぴんなんにゅうにく
一品嘉园	n. 一品嘉園|いっぴんかえん
一品大包	n. 一品大包|いっぴんだいほう
一品官燕	n. 一品官燕|いっぴんかんえん
一品寿桃	n. 一品寿桃|いっぴんじゅとう
一品烧饼	n. 一品焼餅|いっぴんしょうへい
一品熊掌	n. 一品熊掌|いっぴんゆうしょう
一品玉带糕	n. 一品玉帯糕|いっぴんぎょくたいこう
一品红	n. ポインセチア|ポインセチア
一品红小白纹毒蛾	n. ポインセチアコナジラミ|ぽいんせちあこなじらみ
一品红蓟马	n. ポインセチアアザミウマ|ぽいんせちああざみうま
一品肉	n. 上等肉|じょうとうにく
一品蒸黄鱼	n. 一品蒸し黄魚|いっぴんむしきぎょ
一品薯包	n. 一品芋包み|いっぴんいもづつみ
一品豆腐	n. 一品豆腐|いっぴんどうふ
一品豆腐汤	n. 一品豆腐スープ|いっぴんとうふスープ
一品配方	n. 一品配合|いっぴんはいごう
一品酥方	n. 一品酥方|いっぴんそほう
一品酸辣鸡	n. 一品酸辣鶏|いっぴんさんらんけい
一品香	n. 一品香|いっぴんこう
一品香饭店	n. 一品香飯店|いっぴんこうはんてん
一品鲍鱼	n. 一品鮑|いっぴんあわび
一品鲳	n. 一品鯧|いっぴんまながつお
一品鲳鱼	n. 一品マナガツオ|いっぴんマナガツオ
一哄而上	phr. 我先にと殺到する|われさきにとさっとうする
一哄而散	phr. どっと散る|どっとちる
一哄而起	phr. どっと沸き起こる|どっとわきおこる
一哥	n. 一番手|いちばんて
一哭	v. 一度泣く|いちどなく
一唱一和	phr. 呼応する|こおうする
一唱三叹	phr. 一唱三嘆|いっしょうさんたん
一唱百和	phr. 一唱百和|いっしょうひゃくわ
一唱雄鸡天下白	phr. 雄鶏の一声で天下が白む|おんどりのひとこえでてんかがしらむ
一喝	v. 一喝する|いっかつする
一四二中	n. 一四二中|いちよんにちゅう
一回	m. 一回|いっかい
一回事	phr. 同じこと|おなじこと
一回家	phr. 家に帰るとすぐ|いえにかえるとすぐ
一回来	phr. 帰ってすぐ|かえってすぐ
一回生两回熟	phr. 二度目は慣れる|にどめはなれる
一团	n. 一団|いちだん
一团和气	phr. 和気あいあい|わきあいあい
一团漆黑	phr. 真っ暗|まっくら
一团糟	phr. めちゃくちゃ|めちゃくちゃ
一国	n. 一国|いっこく
一国两制	phr. 一国二制度|いっこくにせいど
一国之善士	n. 一国の善士|いっこくのぜんし
一圈	m. 一周|いっしゅう
一地	n. 地面一面|じめんいちめん
一场	m. 一戦|いっせん
一场寂寞凭谁诉	phr. 一場の寂寞誰に訴えん|いちじょうのせきばくたれにうったえん
一场戏	phr. 一つの芝居|ひとつのしばい
一场梦	phr. 一場の夢|いちじょう の ゆめ
一场空	phr. 空振りに終わる|からぶりにおわる
一场雪	n. 一降りの雪|ひとふりのゆき
一块	n. 一つ|ひとつ
一块儿	adv. 一緒に|いっしょに
一块石头落了地	phr. 安心する|あんしんする
一块石头落地	phr. 安心する|あんしんする
一块肉	phr. 肉一切れ|にくひときれ
一块钱	n. 一元|いちげん
一坨	m. ひと塊|ひとかたまり
一垒	n. 一塁|いちるい
一垒手	n. 一塁手|いちるいしゅ
一城之人皆若狂	phr. 一城の人皆狂うが如し|いちじょうのひとみなくるうがごとし
一堆	m. 山積み|やまづみ
一堆人	n. 大勢の人|おおぜいのひと
一塌糊涂	phr. めちゃくちゃ|めちゃくちゃ
一声	n. 一声|ひとこえ
一声不响	phr. 無言で|むごんで
一声何满子	phr. 一声何満子|いっせいかまんし
一声叹息	phr. ため息|ためいき
一声吹断横笛	phr. 一声横笛を吹き断つ|いっせいおうてきをふきたつ
一声哭	phr. 一声に泣く|いっせいになく
一声霹雳	phr. 一声の霹靂|いっせいのへきれき
一壶	m. 一壺|いっこ
一处	n. 一箇所|いっかしょ
一夕轻雷落万丝	phr. 一夕軽雷万糸を落とす|いっせきけいらいばんしをおとす
一夕高楼月	phr. 一夕高楼の月|いっせきこうろうのつき
一多半	n. 大半|たいはん
一多楼	n. 一多楼|いちたろう
一夜	n. 一晩|ひとばん
一夜之间	phr. 一夜のうちに|いちやのうちに
一夜乡心五处同	phr. 一夜郷心五処同じ|いちやきょうしんごしょおなじ
一夜到江涨	phr. 一夜にして江漲る|いちやにしてこうみなぎる
一夜好风吹	phr. 一夜よい風が吹く|いちやよいかぜがふく
一夜征人尽望乡	phr. 一夜の征人皆故郷を望む|いちやのせいじんみなこきょうをのぞむ
一夜暴富	phr. 一夜で大金持ちになる|いちやでたいきんもちになる
一夜梦中香	phr. 一夜夢中の香|いちやむちゅうのか
一夜没睡	phr. 一晩中眠れなかった|ひとばんじゅうねむれなかった
一夜飞度镜湖月	phr. 一夜鏡湖の月を飛び越える|いちやきょうこのつきをとびこえる
一夜鱼龙舞	phr. 一夜魚龍舞|いちやぎょりゅうのまい
一大	adj. 一大|いちだい
一大包	phr. 大きな包み|おおきなつつみ
一大半	n. 大部分|だいぶぶん
一大口	n. 一口|ひとくち
一大圈	n. 大きな輪|おおきなわ
一大块	n. 大きな塊|おおきなかたまり
一大堆	phr. たくさん|たくさん
一大批	phr. 大量の|たいりょうの
一大把	phr. たくさん|たくさん
一大早	n. 早朝|そうちょう
一大段	phr. 一大節|いちだいせつ
一大片	phr. 一面|いちめん
一大群	phr. 大群|たいぐん
一天	n. 一日|いちにち
一天一个	phr. 一日一つ|いちにちひとつ
一天一地	phr. 一天一地|いってんいちち
一天一夜	phr. 一昼夜|いっちゅうや
一天一天	phr. 一日一日|いちにちいちにち
一天假	n. 一日休み|いちにちやすみ
一天到晚	phr. 一日中|いちにちじゅう
一天天	phr. 日々|ひび
一天晚上	phr. ある夜|あるよる
一夫	n. 一夫|いっぷ
一夫一妻制	n. 一夫一婦制|いっぷいっぷせい
一夫作难而七庙隳	phr. 一人が乱を起こせば七廟も滅びる|ひとりがらんをおこせばしちびょうもほろびる
一夫多妻制	n. 一夫多妻制|いっぷたさいせい
一夫当关	phr. 一人で関所を守る|ひとりでせきしょをまもる
一夫当关万夫莫开	phr. 一夫関に当たれば万夫も開く莫し|いっぷせきにかたればばんぷもひらくなし
一失足成千古恨	phr. 一歩誤れば千古の恨み|いっぽあやまればせんこのうらみ
一头	m. 一頭|いっとう
一头猪	phr. 豚一頭|ぶたいっとう
一头雾水	phr. さっぱり分からない|さっぱりわからない
一套	m. 一組|ひとくみ
一套衣服	phr. 一揃いの服|ひとそろいのふく
一女	phr. 一人の女|ひとりのおんな
一如	v. 一如|いちにょ
一如既往	phr. 相変わらず|あいかわらず
一如法界	phr. 一如法界|いちにょほっかい
一孔之见	phr. 一孔之見|いっこうのけん
一字	n. 一字|いちじ
一字一句	phr. 一字一句|いちじいっく
一字之师	phr. 一字の師|いちじのし
一字倒吊	n. 一字逆さ吊り|いちじさかさづり
