# 由 qingjian-gloss-gen 生成（LLM）。词	[词性. ]译词	[词性. ]译词
㕮	v. chew
一代楷模	phr. model of a generation
一代繁华地	phr. a generation of prosperity
一以贯之	phr. consistent
一件	m. a piece of
一件事	phr. one thing
一件事情	n. a matter
一件衣服	phr. a piece of clothing
一任	n. term of office
一任群芳妒	phr. let flowers envy
一份	m. a copy	m. a portion
一众	n. a group of
一伙	n. a gang
一伙儿	n. a group
一会	n. a while	n. moment
一会儿	n. a while	n. moment
一会去	phr. go in a while
一体	n. unity
一体化	n. integration
一例	n. example
一侧	n. one side
一倍	num. double
一元	num. one yuan
一元化	n. unification
一元复始	phr. a new beginning
一元多项式	n. univariate polynomial
一元论	n. monism
一入	phr. once enter
一公司	n. first company
一公园	n. First Park
一六一医院	n. 161 Hospital
一六八医院	n. 168 Hospital
一共	adv. altogether
一关	phr. one pass
一册	m. one volume
一再	adv. repeatedly
一军	n. army
一决胜负	phr. decide the outcome
一决雌雄	phr. decide the outcome
一准	adv. surely
一出	m. a play
一出来	phr. as soon as out
一击	n. blow
一刀	n. one cut
一刀两断	phr. cut in two
一刀切	phr. one-size-fits-all
一分	n. one point
一分一毫	phr. a bit
一分为二	phr. divide into two
一分场	n. No.1 branch farm
一分钟	phr. one minute
一分钱	n. a cent
一切	pron. everything
一切众生	phr. all beings
一切危险保险合同	phr. all risk insurance contract
一切可能措施	n. all possible measures
一切合理措施	phr. all reasonable measures
一切安好	phr. all is well
一切平安	phr. all safe
一切必要措施	phr. all necessary measures
一切正常	phr. all normal
一切都	phr. everything
一切都会	phr. everything will
一切都是	phr. everything is
一切顺利	phr. all goes well
一列	m. a row
一则	m. a piece of
一则以喜	phr. one joy
一别	phr. parting
一别二十年	phr. parted for twenty years
一别武功去	phr. once leave Wugong
一到	phr. as soon as arrive
一到晚上	phr. at night
一刷	v. swipe once
一刹那	n. instant
一刻	n. moment
一剂	m. a dose
一副	m. a pair	m. a set
一加	n. OnePlus
一动	v. move
一动不动	phr. motionless
一劳永逸	phr. once and for all
一勺	phr. a spoonful
一包	m. a pack
一化性柞蚕	n. univoltine oak silkworm
一区	n. district one
一医	n. first doctor
一医院	n. First Hospital
一千	num. one thousand
一千万	num. ten million
一千个	num. one thousand
一千块	n. one thousand yuan
一千多	num. over a thousand
一半	n. half
一半一半	phr. half and half
一半了	phr. half done
一半是	phr. half is
一半的	adj. half
一单	n. one order
一卡通	n. all-in-one card
一卦	n. a hexagram
一卷	n. one volume
一厢情愿	phr. wishful thinking
一去	v. go once
一去一万里	phr. go ten thousand miles
一去三十年	phr. gone for thirty years
一去不复返	phr. gone forever
一去无踪迹	phr. gone without a trace
一参一控	phr. one reference one control
一双	m. a pair
一双鞋	n. a pair of shoes
一反常态	phr. out of character
一发	m. one shot
一发千钧	phr. critical moment
一发而不可收拾	phr. get out of hand
一受其成形	phr. once receiving its form
一口	m. mouthful
一口一个	phr. one after another
一口一声	phr. in unison
一口咬定	phr. insist
一口气	phr. in one breath	phr. at one go
一口酥	n. one-bite pastry
一口闷	phr. drink in one gulp
一句	m. a sentence
一句话	phr. one sentence
一只手	n. one hand
一只狗	phr. a dog
一只猫	phr. a cat
一只眼睛	phr. one eye
一可以为法则	phr. can be a rule
一叶荻	n. Securinega suffruticosa
一叶障目	phr. blinded by one leaf
一叶障目不见泰山	phr. leaf blinds Mount Tai
一号	n. No.1	n. first
一号半红龙	n. No.1 half-red dragon
一号桥	n. No.1 Bridge
一号立井	n. No. 1 vertical shaft
一号线	n. Line 1
一号船闸	n. No.1 ship lock
一号路	n. No.1 Road
一号闸	n. No.1 sluice
一吃	v. eat once
一同	adv. together
一同前往	phr. go together
一名	phr. one
一向	adv. always
一吟双泪流	phr. recite and tears flow
一吨	phr. one ton
一听	adv. upon hearing
一听到	v. as soon as hear
一吹	v. blow
一吻	n. a kiss
一员	n. member
一周	n. one week
一周一次	phr. once a week
一周内	phr. within a week
一周后	phr. in a week	phr. after a week
一周年	n. first anniversary
一味	adv. blindly
一呼百应	phr. multitude responds
一呼百诺	phr. command a large following
一命呜呼	phr. kick the bucket
一命归西	phr. die
一品	n. top grade	n. first class
一品嘉园	n. Yipin Jiayuan
一品大包	n. yipin big bun
一品官燕	n. imperial bird's nest
一品寿桃	n. top-grade longevity peach
一品烧饼	n. first-class sesame cake
一品熊掌	n. top-grade bear paw
一品玉带糕	n. yipin jade belt cake
一品红	n. poinsettia
一品红小白纹毒蛾	n. poinsettia whitefly
一品红蓟马	n. poinsettia thrips
一品肉	n. top-grade pork
一品蒸黄鱼	n. steamed yellow croaker
一品薯包	n. potato dumpling
一品豆腐	n. top-grade tofu
一品豆腐汤	n. tofu soup
一品配方	n. premium formula
一品酥方	n. crispy square
一品香	n. Yipinxiang
一品香饭店	n. Yipinxiang Restaurant
一品鲍鱼	n. top-grade abalone
一品鲳	n. yipin pomfret
一品鲳鱼	n. pomfret dish
一哄而上	phr. rush in a crowd
一哄而散	phr. disperse in a hubbub
一哄而起	phr. rise in a hubbub
一哥	n. top guy
一哭	v. cry once
一唱一和	phr. echo each other
一唱三叹	phr. sing with deep feeling
一唱雄鸡天下白	phr. cockcrow heralds dawn
一喝	v. shout
一四二中	n. 142 middle school
一回	m. once
一回事	phr. the same thing
一回来	phr. as soon as return
一团	n. a ball of
一团和气	phr. harmonious
一团漆黑	phr. pitch-dark
一团糟	phr. a mess
一国	n. one country
一国之善士	n. country's good man
一圈	m. a circle	m. a lap
一地	n. all over the ground
一场戏	phr. a play	phr. a show
一场梦	phr. a dream
一场空	phr. all in vain
一场雪	n. a snowfall
一块	n. piece	n. together
一块儿	adv. together
一块肉	phr. a piece of meat
一块钱	n. one yuan
一坨	m. lump
一垒	n. first base
一垒手	n. first baseman
一城之人皆若狂	phr. whole city goes mad
一堆	m. pile
一堆人	n. a crowd
一塌糊涂	phr. in a mess	phr. terrible
一声	n. a sound
一声不响	phr. without a word
一声叹息	phr. a sigh
一声哭	phr. burst into tears
一声霹雳	phr. a thunderclap
一壶	m. a pot
一处	n. a place
一多半	n. more than half
一多楼	n. Yiduo Building
一夜	n. one night
一夜之间	phr. overnight
一夜征人尽望乡	phr. soldiers all yearn home
一夜暴富	phr. get rich overnight
一夜没睡	phr. sleepless night
一夜鱼龙舞	phr. fish-dragon dance all night
一大	adj. big
一大包	phr. a big bag
一大半	n. most
一大口	n. big mouthful
一大圈	n. a big circle
一大块	n. a big piece
一大堆	phr. a pile of
一大批	phr. a large batch
一大把	phr. a lot of
一大早	n. early morning
一大段	phr. a large section
一大片	phr. a large area
一大群	phr. a large group
一天	n. one day
一天一个	phr. one per day
一天一地	phr. heaven and earth
一天一夜	phr. a day and night
一天一天	phr. day by day
一天假	n. one day off
一天到晚	phr. all day long
一天天	phr. day by day
一天晚上	phr. one evening
一夫	n. one husband
一夫一妻制	n. monogamy
一夫多妻制	n. polygyny
一头	m. a head of
一头猪	phr. a pig
一头雾水	phr. completely confused
一套	m. a set
一套衣服	phr. a suit of clothes
一女	phr. one woman
一如	v. just like
一如既往	phr. as always
一如法界	phr. as the dharma realm
一孔之见	phr. narrow view
一字	n. one word
一字一句	phr. word by word
一字倒吊	n. one-word inverted
一字偕华星	phr. word with bright star
一字刺尾鲷	n. one-stripe surgeonfish
一字千金	phr. priceless writing
一字吊	n. one-character hanging
一字显脉叶蝉	n. one-line leafhopper
一字桥	n. one-character bridge
一字波纹吊	n. one-line tang
一字纹稻苞虫	n. rice skipper
一字至七字诗	n. pagoda poem
一字长蛇阵	n. single-line formation
一季	n. one season
一季度	n. quarter
一学期	n. one semester
一宗	m. a case
一官半职	phr. minor official post
一定	adv. certainly	adv. surely
一定一定	phr. certainly
一定不	phr. definitely not
一定不会	phr. definitely won't
一定不是	phr. definitely not
一定不要	phr. must not
一定之规	phr. fixed rule
一定会	phr. will definitely
一定可以	phr. surely can
一定在	phr. must be there
一定数量	phr. a certain amount
一定是	phr. must be
一定是你	phr. must be you
一定有	phr. must have
一定程度	n. certain degree
一定能	phr. definitely can
一定要	phr. must	phr. definitely
一定要把	phr. must
一定要看	phr. must-see
一审	n. first trial
一审判决	n. first-instance verdict
一审判决书	n. first-instance judgment
一审法院	n. court of first instance
一审裁定	n. first-instance ruling
一宵冷雨葬名花	phr. cold rain buries flower
一家	n. a family
一家一户	phr. each household
一家三口	phr. family of three
一家之言	phr. one's own view
一家二十口	phr. a family of twenty
一家人	n. family
一家四口	phr. family of four
一家子	n. family
一家老小	phr. whole family
一宿	n. one night
一寸	n. one inch
一寸光阴一寸金	phr. Time is money
一寸荒田牛得耕	phr. ox plows small field
一对	m. a pair
一对一	phr. one-on-one
一对一联系	n. one-to-one contact
一对多	n. one-to-many
一对多业务	n. one-to-many business
一封信	n. a letter
一尊	m. a
一小	phr. a little
一小块	phr. a small piece
一小撮	m. a handful
一小时	n. one hour
一小段	phr. a short section
一小部分	n. a small part
一尘不染	phr. spotless
一局	n. game	n. round
一层	m. layer
一届	m. session	m. term
一屋	n. room
一展身手	phr. show one's skills
一山	n. a mountain
一岁	n. one year old
一岁一枯荣	phr. wither and flourish yearly
一川碎石大如斗	phr. boulders fill the river
一己	pron. oneself
一己之私	phr. selfish interest
一己之见	phr. one's own opinion
一巴掌	n. slap
一帆风顺	phr. smooth sailing
一带	n. area	n. region
一带一路	n. Belt and Road
一带中脊沫蝉	n. spittlebug of a zone
一带拟沫蝉	n. banded spittlebug
一席	n. a seat
一席之地	phr. a place
一席话	phr. a talk
一席谈	n. a conversation
一帮	m. a group of
一帮人	phr. a group of people
一幅画	phr. a painting
一幕	n. one act
一幢	m. a building
一干	phr. all
一干二净	phr. completely clean
一平	n. one level
一年	n. one year
一年一年老去	phr. aging year by year
一年一度	phr. once a year
一年一度秋风劲	phr. autumn wind blows yearly
一年一次	phr. once a year
一年了	phr. one year
一年内	phr. within a year
一年到头	phr. all year round
一年前	n. a year ago
一年十二月	phr. twelve months
一年半载	phr. a year or so
一年后	n. one year later
一年四季	phr. all year round
一年多	phr. over a year
一年多了	phr. over a year
一年时间	phr. one year
一年春好处	phr. best of spring
一年期	n. one-year term
一年生	n. first-year student
一年生植物	n. annual plant
一年级	n. first grade
一年级生	n. first-year student
一并	adv. together
一床	m. a bed
一应	n. all
一应俱全	phr. complete
一度	adv. once
一度欲离别	phr. once wanted to part
一座古	phr. an ancient
一座城	phr. a city
一建	n. First Construction
一建家属院	n. Yijian family compound
一开	v. as soon as open
一开口	phr. as soon as speak
一开始	phr. at first
一张	m. a piece of
一张一弛	phr. alternate tension and relaxation
一张嘴	phr. open mouth
一张图	phr. a picture
一张床	phr. a bed
一张照片	phr. a photo
一张纸	n. a piece of paper
一弦一柱思华年	phr. each string recalls youth
一役	n. one role
一往情深	phr. deeply attached
一往无前	adj. indomitable
一往直前	phr. go straight ahead
一往而深	phr. deeply
一径	adv. directly
一律	adv. uniformly
一律予以没收	phr. confiscate all without exception
一得之见	phr. humble opinion
一德	n. Yide
一德东	n. Yide East
一德西	n. Yide West
一德路	n. Yide Road
一心	adv. wholeheartedly
一心一意	phr. wholeheartedly
一念之差	phr. a momentary slip
一怔	v. be startled
一总	adv. altogether
一悟得所遣	phr. one awakening gets release
一悲一喜	phr. alternating grief and joy
一想	v. think of
一想到	phr. when thinking of
一意孤行	phr. act arbitrarily
一愣	v. stun
一成不变	phr. unchanging	phr. fixed
一战	n. World War I
一截	m. a section	m. a piece
一户	n. one household
一扇	m. a fan
一手	n. trick	n. skill
一手一脚	phr. single-handedly
一手包办	v. take sole charge
一手包揽	phr. monopolize
一打	m. dozen
一打开	phr. as soon as open
一扫而光	phr. sweep away completely
一扫而空	phr. sweep away
一批	m. a batch
一技之长	phr. skill
一把	m. a handful of
一把刀	phr. a knife
一把好手	phr. expert
一把年纪	phr. old age
一把手	n. leader
一把抓	phr. grab all
一把枪	n. a gun
一把鼻涕	n. a handful of snot
一抓	v. grab
一抔黄土	phr. a handful of earth
一抖	v. shake
一报还一报	phr. tit for tat
一抹	m. a touch of
一拍	n. beat
一拍即合	phr. hit it off
一招	n. a move
一拜	v. bow once
一拥而上	phr. rush forward
一拥而入	phr. rush in
一拳	n. one punch
一挥而就	phr. finish at one stroke
一捏酥	n. pinch pastry
一捻金胶囊	n. Yinianjin capsule
一掌雪	n. snow in one's palm
一排	n. a row
一掷千金	phr. spend lavishly
一提	v. mention
一揽子	adj. package	adj. blanket
一搏	v. fight for
一搜	v. search
一摘使瓜好	phr. picking makes melon good
一摸	v. touch
一支黑玫瑰	phr. a black rose
一改	v. change completely
一整	adj. whole
一整个	adj. whole
一整夜	n. all night
一整天	n. all day
一整套	n. a whole set
一文	n. one cent
一文不值	phr. worthless
一文不名	phr. penniless
一文钱难倒英雄汉	phr. penniless hero
一斑	n. one spot
一斗泉乡	n. Yidouquan township
一斛荐槟榔	phr. offer betel nuts
一斤	phr. one jin
一新	v. renew
一方	n. one side
一方面	conj. on one hand
一旁	n. side
一族	n. clan
一无可取	phr. worthless
一无所得	phr. gain nothing
一无所成	phr. accomplish nothing
一无所有	phr. have nothing
一无所求	phr. ask for nothing
一无所知	phr. know nothing
一无所能	phr. good for nothing
一无所获	phr. gain nothing
一无所见	phr. see nothing
一无所长	phr. have no special skill
一无是处	phr. worthless
一日	n. one day
一日三省	phr. reflect thrice daily
一日三餐	phr. three meals a day
一日之计在于晨	phr. morning is key
一日千里	phr. at a tremendous pace
一日复一日	phr. day after day
一日思亲十二时	phr. miss family all day
一日游	n. day trip
一日长一日	phr. each day grows
一旦	conj. once
一旦归为臣虏	phr. once become captive
一早	n. early morning
一时	n. moment	n. temporary
一时一刻	phr. moment
一时三刻	phr. short while
一时今夕会	phr. gather tonight
一时兴起	phr. on a whim
一时冲动	phr. impulse
一时半会	phr. for a while
一时半会儿	phr. for a while
一时半刻	phr. a short while
一时多少豪杰	phr. heroes of the time
一时归去作闲人	phr. retire
一时的	adj. temporary
一时间	adv. for a moment
一星	n. one star
一星儿	m. a bit
一星半点	phr. a bit	phr. a little
一星半点儿	phr. a tiny bit
一星期	n. one week
一春梦雨常飘瓦	phr. dreamy rain
一是	phr. first
一是一二是二	phr. clear-cut
一显身手	phr. show one's skill
一晃	adv. in a flash
一晚	n. one night
一晚上	n. all night
一晚上了	phr. all night
一曲	n. a song
一月	n. January
一月份	n. January
一月又一月	phr. month after month
一望无垠	phr. boundless
一望无边	phr. boundless
一望无际	phr. boundless
一望而知	phr. obvious
一朝	n. one day
一朝一夕	phr. overnight
一朝入吾手	phr. in my hand
一朝卧病无相识	phr. sick alone
一朝去京国	phr. leave capital
一朝得成功	phr. succeed
一朝权在手	phr. power in hand
一朝被谗言	phr. slandered
一朝辞此地	phr. leave this place
一朝选在君王侧	phr. chosen by the king
一期	n. first phase
一期愈合	n. primary healing
一期梅毒	n. primary syphilis
一期缝合	n. primary closure
一本万利	phr. huge profit
一本书	phr. a book
一本好书	phr. a good book
一本正经	phr. serious
一本通	n. all-in-one pass
一朵	m. a flower
一朵佳人玉钗上	phr. on hairpin
一朵小	phr. a small flower
一朵花	phr. a flower
一束	n. a bunch
一条	m. a
一条心	phr. be of one mind
一条狗	phr. a dog
一条线	phr. a line
一条腿	phr. one leg
一条藤径绿	phr. vine path green
一条街	n. street
一条街道	n. a street
一条路	phr. one road
一条道走到黑	phr. go down one road
一条鱼	phr. a fish
一条龙	n. one-stop
一来	adv. firstly
一来一往	phr. back and forth
一杯	m. a cup
一杯一杯复一杯	phr. cup after cup
一杯咖啡	phr. a cup of coffee
一杯敬	phr. a cup to
一杯相属君当歌	phr. drink and sing
一杯罗浮春	phr. a cup of wine
一杯苦劝护寒归	phr. urge to drink
一杯酒	phr. a glass of wine
一板一眼	phr. methodical
一枕小窗浓睡	phr. deep sleep
一枕黄粱	phr. pipe dream
一枕黄粱再现	phr. pipe dream
一枕黑甜余	phr. sweet sleep
一枚不换百金颁	phr. priceless
一枝	m. one branch
一枝花	n. a flower
一枝黄花	n. goldenrod
一枪	n. one shot
一架猕猴桃	phr. a trellis of kiwifruit
一柱擎天	phr. stand alone
一栋	m. a building
一栏	n. column
一树梅花一放翁	phr. plum and poet
一树梨花落晚风	phr. pear blossoms fall
一树碧无情	phr. green trees indifferent
一株	m. a plant
一株青玉立	phr. a jade-green plant stands
一样	adj. same
一样一样	phr. same same
一样可以	phr. also can
一样在	phr. also in
一样多	phr. as many
一样大	adj. same size
一样好	adj. as good
一样悲欢逐逝波	phr. joys and sorrows drift
一样是	phr. same as
一样有	phr. also have
一样的人	phr. same kind of person
一样美	adj. equally beautiful
一样都是	phr. all the same
一样长	phr. same length
一根筋	adj. stubborn
一格	n. one grid
一案	n. a case
一桌	phr. a table of
一档	m. a program
一档齿轮	n. first gear
一桶	m. a bucket
一棍子打死	phr. kill with one blow
一棒	n. a stick
一棒雪	n. a play
一棵树	phr. a tree
一棵青桐子	phr. a green parasol tree
一楼	n. first floor
一概	adv. without exception
一概而论	phr. treat as the same
一模一样	phr. identical
一樽还酹江月	phr. toast the moon
一次	phr. once
一次会议	phr. a meeting
一次吧	phr. once
一次性	adj. disposable
一次性使用导尿管	n. disposable catheter
一次性口罩	n. disposable mask
一次性输液器	n. disposable infusion set
一次指数平滑法	n. exponential smoothing
一次机会	phr. one chance
一次次	adv. repeatedly
一次澡	phr. one bath
一次课征制	n. single taxation
一款由	phr. a game by
一正君而国定矣	phr. rectify ruler
一步	n. step
一步一个脚印	phr. step by step
一步一步	adv. step by step
一步到位	phr. do in one step
一步步	adv. step by step
一段	m. a period
一段时间	n. a period
一段话	phr. a paragraph
一段路	phr. a stretch of road
一比	phr. one to one
一毕业	phr. upon graduation
一毛	n. one hair
一毛不拔	phr. stingy	phr. miserly
一毛钱	n. one mao
一气呵成	phr. in one breath
一氧化碳	n. carbon monoxide
一氯二氟乙烷	n. chlorodifluoroethane
一水中分白鹭洲	phr. water divides egret islet
一水儿	adv. uniformly
一水护田将绿绕	phr. water circles fields
一汽	n. FAW
一汽丰越	n. FAW Toyota
一汽公司	n. FAW
一汽华利幸福使者	n. FAW Huali
一汽吉林森雅	n. FAW Jilin Senia
一汽夏利	n. FAW Xiali
一汽奥迪	n. FAW Audi
一汽威志	n. FAW Vizi
一汽富维	n. FAW Faway
一汽轿车	n. FAW Car
一汽金杯	n. FAW Jinbei
一汽马自达	n. FAW Mazda
一波	m. wave
一波未平一波又起	phr. one thing after another
一泻千里	phr. flow swiftly
一派	n. school	n. faction
一流	adj. first-class
一浪	n. one wave
一清二楚	adj. perfectly clear
一清二白	phr. perfectly clear
一清新村	n. Yiqing Village
一清早	n. early morning
一清胶囊	n. Yiqing capsule
一清软胶囊	n. Yiqing soft capsule
一清颗粒	n. Yiqing granules
一渡	n. Yidu
一溜儿	n. row	n. line
一溜烟	phr. in a flash
一滴	m. a drop
一潭死水	phr. stagnant pool
一炮	n. a shot	n. a cannon
一炮打响	phr. make a hit
一炷烟中得意	phr. content in smoke
一炷烟消火冷	phr. smoke fades
一点	n. a little
一点一滴	phr. bit by bit
一点一点	adv. little by little
一点不	phr. not at all
一点乌灯蛾	n. one-spot tiger moth
一点也	adv. at all
一点也不	phr. not at all
一点儿	m. a little
一点半	n. half past one
一点半点	phr. a little
一点同缘椿象	n. one-spot stink bug
一点同缘蝽	n. one-spot stink bug
一点实小卷蛾	n. one-spot leafroller
一点木叶蝉	n. leafhopper
一点沧洲白鹭飞	phr. egret flies
一点浩然气	phr. a bit of spirit
一点灰蝶	n. gray butterfly
一点灰蝶属	n. gossamer-winged butterfly
一点点	adj. a little
一点突额杆蝇	n. fly
一点芳心在娇眼	phr. amorous eyes
一点蝙蛾	n. moth
一点都	adv. at all
一点都不	phr. not at all
一点都没	phr. not at all
一点钻夜蛾	n. moth
一点黄粉蝶	n. yellow butterfly
一热	phr. get hot
一片	m. a piece
一片丹心	phr. loyal heart
一片伤心画不成	phr. sorrow cannot be painted
一片冰心	phr. a pure heart
一片孤城万仞山	phr. lonely city
一片春岚映半环	phr. spring mist
一片汪洋	phr. vast expanse of water
一片汪洋都不见	phr. nothing but water
一片焦土	phr. scorched earth
一片神鸦社鼓	phr. sacred crows
一片空白	phr. blank
一片西飞一片东	phr. scattered
一版	n. first edition
一物不知	phr. ignorant of one thing
一物降一物	phr. one thing conquers another
一环	n. first ring road
一环路大石路口	n. First Ring Road
一环路菊乐路口	n. intersection
一班	n. class
一球	n. one ball
一瓣心香	phr. sincere devotion
一瓯资舌本	phr. a cup of tea
一瓶	phr. a bottle
一瓶二静三鳎目	phr. order of fish
一生	n. lifetime
一生一世	phr. lifetime
一生中	n. in one's life
一生大笑能几回	phr. laughter in a lifetime
一生平安	phr. lifelong peace
一生抱恨堪咨嗟	phr. lifelong regret
一生的	adj. lifelong
一甲胺	n. monomethylamine
一画开天	phr. creation
一番	n. first	n. number one
一番洗清秋	phr. wash the clear autumn
一病讫不痊	phr. once ill never recover
一百	num. one hundred
一百万	num. one million
一百个	num. one hundred
一百二十	num. one hundred twenty
一百五十	num. one hundred fifty
一百倍	num. hundredfold
一百分	n. full marks
一百块	phr. one hundred yuan
一百块钱	phr. 100 yuan
一百多	num. over a hundred
一百天	n. one hundred days
一百年	n. one hundred years
一百次	phr. a hundred times
一百遍	phr. a hundred times
一盆	m. a basin
一盏	m. a lamp
一盏秋灯夜读书	phr. reading by autumn lamp
一盒	phr. a box of
一盘	m. a plate of
一盘散沙	phr. disunited
一盘棋	n. whole situation
一目了然	phr. clear at a glance
一直	adv. always	adv. continuously
一直一直	adv. always
一直下雨	phr. keep raining
一直不	adv. never	adv. not always
