# 由 qingjian-gloss-gen english 生成（LLM）：英文词的中文释义。词（小写）	[词性. ]释义	[词性. ]释义
a	一
absorption	n. 吸收
abstain	v. 弃权
abstained	v. 弃权
abstaining	v. 弃权
abstention	n. 弃权
abstinence	n. 节制
abstract	adj. 抽象的
abstracted	adj. 心不在焉的
abstracting	v. 提取	v. 摘要
abstraction	n. 抽象
abstractions	n. 抽象
abstracts	n. 摘要
absurd	adj. 荒谬
absurdity	n. 荒谬
absurdly	adv. 荒谬地
abuja	n. 阿布贾
abundance	n. 丰富	n. 大量
abundant	adj. 丰富的
abundantly	adv. 丰富地
abuse	n. 滥用	n. 虐待
abused	v. 滥用
abuser	n. 滥用者
abusers	n. 滥用者
abuses	n. 滥用
abusing	v. 滥用
abusive	adj. 辱骂的	adj. 虐待的
abut	v. 邻接
abysmal	adj. 极糟的
abyss	n. 深渊
ac	n. 交流电
acacia	n. 金合欢
academia	n. 学术界
academic	adj. 学术的
academically	adv. 学术上
academics	n. 学者
academies	n. 学院
academy	n. 学院	n. 研究院
acadia	n. 阿卡迪亚
acapulco	n. 阿卡普尔科
accede	v. 同意	v. 就任
acceded	v. 同意
accelerate	v. 加速
accelerated	adj. 加速的
accelerates	v. 加速
accelerating	adj. 加速的
acceleration	n. 加速
accelerator	n. 加速器
accelerators	n. 加速器
accelerometer	n. 加速度计
accent	n. 口音
accented	adj. 带口音的
accents	n. 口音
accentuate	v. 强调
accentuated	v. 强调
accenture	n. 埃森哲
accept	v. 接受
acceptability	n. 可接受性
acceptable	adj. 可接受
acceptance	n. 接受
accepted	v. 接受
accepting	v. 接受
accepts	v. 接受
access	n. 访问	n. 通道
accessed	v. 访问
accesses	v. 访问
accessibility	n. 可及性
accessible	adj. 可访问的
accessing	v. 访问
accession	n. 加入	n. 就职
accessor	n. 访问器
accessories	n. 配件
accessory	n. 配件	n. 附件
accident	n. 事故
accidental	adj. 意外的
accidentally	adv. 意外地
accidents	n. 事故
acclaim	n. 赞誉	n. 称赞
acclaimed	adj. 受赞誉的
accolade	n. 荣誉
accolades	n. 荣誉
accommodate	v. 容纳	v. 适应
accommodated	v. 容纳	v. 适应
accommodates	v. 容纳
accommodating	adj. 乐于助人的
accommodation	n. 住宿
accommodations	n. 住宿
accompanied	v. 陪伴	v. 伴随
accompanies	v. 陪伴
accompaniment	n. 伴奏
accompany	v. 陪伴
accompanying	adj. 伴随的
accomplice	n. 同谋
accomplices	n. 同谋
accomplish	v. 完成	v. 实现
accomplished	adj. 熟练的	adj. 有造诣的
accomplishes	v. 完成
accomplishing	v. 完成
accomplishment	n. 成就
accomplishments	n. 成就
accord	n. 协议
accordance	n. 一致
accorded	v. 给予
according	adv. 根据
accordingly	adv. 因此	adv. 相应地
accordion	n. 手风琴
accords	n. 协议
accosted	v. 搭讪	v. 挑衅
account	n. 账户	n. 账目
accountability	n. 问责
accountable	adj. 负责的
accountancy	n. 会计学
accountant	n. 会计
accountants	n. 会计师
accounted	v. 解释	v. 占
accounting	n. 会计
accounts	n. 账户
accra	n. 阿克拉
accreditation	n. 认证
accredited	adj. 认可的
accrediting	v. 授权
accretion	n. 积累
accrual	n. 累积	n. 应计
accrue	v. 积累	v. 产生
accrued	adj. 应计的
accruing	v. 累积
accumulate	v. 积累
accumulated	v. 积累
accumulates	v. 积累
accumulating	v. 积累
accumulation	n. 积累
accumulations	n. 积累
accumulator	n. 蓄电池
accuracy	n. 准确
accurate	adj. 准确的
accurately	adv. 准确地
accursed	adj. 被诅咒的
accusation	n. 指控
accusations	n. 指控
accusative	n. 宾格
accuse	v. 指责
accused	v. 指控
accuser	n. 原告
accusers	n. 原告
accuses	v. 指控
accusing	v. 指责
accustomed	adj. 习惯的
ace	n. 王牌
aced	v. 得A	v. 精通
aces	n. 王牌
acetaminophen	n. 对乙酰氨基酚
acetate	n. 醋酸盐
acetic	adj. 醋酸的
acetone	n. 丙酮
acetyl	n. 乙酰
ache	v. 疼痛
aches	v. 疼痛
achievable	adj. 可实现的
achieve	v. 实现	v. 达到
achieved	v. 实现	v. 达到
achievement	n. 成就	n. 成绩
achievements	n. 成就
achiever	n. 成功者
achievers	n. 成功者
achieves	v. 实现	v. 达到
achieving	v. 实现	v. 达到
achilles	n. 阿喀琉斯
aching	adj. 疼痛的
acid	n. 酸
acidic	adj. 酸性的
acidification	n. 酸化
acidity	n. 酸性
acids	n. 酸
ackermann	n. 阿克曼
acknowledge	v. 承认
acknowledged	v. 承认
acknowledgement	n. 承认	n. 感谢
acknowledges	v. 承认
acknowledging	v. 承认
acknowledgment	n. 承认
aclu	n. 美国公民自由联盟
acm	n. 美国计算机协会
acme	n. 顶点
acne	n. 痤疮
acolytes	n. 追随者
acorn	n. 橡子
acorns	n. 橡子
acos	n. 反余弦
acosta	n. 阿科斯塔
acoustic	adj. 声学的
acoustical	adj. 声学的
acoustics	n. 声学
acquaint	v. 熟悉
acquaintance	n. 熟人
acquaintances	n. 熟人
acquainted	adj. 熟悉的
acquire	v. 获得
acquired	v. 获得
acquires	v. 获得	v. 取得
acquiring	v. 获得
acquisition	n. 收购
acquisitions	n. 收购
acquit	v. 无罪释放
acquittal	n. 无罪释放
acquitted	v. 无罪释放
acre	n. 英亩
acreage	n. 英亩数
acres	n. 英亩
acrimonious	adj. 尖刻的
acrobat	n. 杂技演员
acrobatic	adj. 杂技的
acrobatics	n. 杂技
acrobats	n. 杂技演员
acronym	n. 首字母缩略词
acronyms	n. 缩写词
acropolis	n. 卫城
across	prep. 穿过
acrylic	n. 丙烯酸
acrylics	n. 丙烯酸
act	v. 行动	v. 表演
acted	v. 行动
acting	n. 表演
action	n. 行动
actionable	adj. 可起诉的
actionlint	n. 动作检查工具
actions	n. 行动
activate	v. 激活
activated	v. 激活
activates	v. 激活
activating	v. 激活
activation	n. 激活
activator	n. 激活剂
active	adj. 活跃的	adj. 积极的
actively	adv. 积极地
activemq	n. ActiveMQ
actives	n. 活性物
activesupport	n. 活动支持
activism	n. 行动主义
activist	n. 活动家
activists	n. 活动家
activities	n. 活动
activity	n. 活动
activitybar	n. 活动栏
acton	n. 阿克顿
actor	n. 演员
actors	n. 演员
actress	n. 女演员
actresses	n. 女演员
acts	n. 行为
actual	adj. 实际的
actuality	n. 现实
actually	adv. 实际上
actuarial	adj. 精算的
actuaries	n. 精算师
actuary	n. 精算师
actuated	v. 驱动	v. 促使
actuator	n. 执行器
actuators	n. 执行器
acuity	n. 敏锐
acumen	n. 敏锐	n. 精明
acupuncture	n. 针灸
acute	adj. 急性的	adj. 敏锐的
acutely	adv. 敏锐地
ad	n. 广告
ada	n. 艾达
adage	n. 格言
adagio	n. 慢板
adam	n. 亚当
adamant	adj. 坚决的
adamantly	adv. 坚决地
adams	n. 亚当斯
adapt	v. 适应
adaptability	n. 适应性
adaptable	adj. 适应性强
adaptation	n. 适应	n. 改编
adaptations	n. 改编	n. 适应
adapted	v. 适应	v. 改编
adapter	n. 适配器
adapters	n. 适配器
adapting	v. 适应
adaption	n. 适应
adaptive	adj. 适应的
adapts	v. 适应
adc	n. 模数转换器
add	v. 添加
addams	n. 亚当斯
added	v. 添加
addendum	n. 附录
adder	n. 蝰蛇
addict	n. 瘾君子
addicted	adj. 上瘾的
addicting	v. 使上瘾
addiction	n. 成瘾
addictions	n. 成瘾
addictive	adj. 上瘾的
addicts	n. 瘾君子
addie	n. 艾迪
adding	v. 添加
addison	n. 艾迪生
addition	n. 加法	n. 增加
additional	adj. 额外的	adj. 附加的
additionally	adv. 此外
additions	n. 增加
additive	n. 添加剂
additives	n. 添加剂
addled	adj. 糊涂的	adj. 腐坏的
addon	n. 插件
addons	n. 插件
addr	n. 地址
address	n. 地址
addressed	v. 解决
addresses	n. 地址
addressing	v. 解决
adds	v. 增加	v. 添加
adelaide	n. 阿德莱德
adele	n. 阿黛尔
adeline	n. 阿德琳
aden	n. 亚丁
adept	adj. 熟练的
adequacy	n. 充分
adequate	adj. 足够的	adj. 适当的
adequately	adv. 充分地
adhd	n. 多动症
adhere	v. 遵守
adhered	v. 粘附
adherence	n. 遵守
adherent	n. 拥护者
adherents	n. 追随者
adheres	v. 坚持
adhering	v. 坚持
adhesion	n. 粘附
adhesive	n. 粘合剂
adhesives	n. 粘合剂
adhoc	adj. 临时的
adidas	n. 阿迪达斯
adieu	int. 再见
adipose	adj. 脂肪的
adirondack	n. 阿迪朗达克
adjacent	adj. 邻近的
adjective	n. 形容词
adjectives	n. 形容词
adjoining	adj. 毗邻的
adjourn	v. 休会
adjourned	v. 休会
adjournment	n. 休会	n. 延期
adjudged	v. 判定
adjudicated	v. 裁决
adjudication	n. 裁决
adjunct	n. 附属物
adjust	v. 调整
adjustable	adj. 可调节的
adjusted	adj. 调整的
adjuster	n. 调节器
adjusting	v. 调整
adjustment	n. 调整
adjustments	n. 调整
adjusts	v. 调整
adjutant	n. 副官
adkins	n. 阿德金斯
adler	n. 阿德勒
adm	n. ADM
admin	n. 管理员
adminer	n. Adminer
administer	v. 管理	v. 执行
administered	v. 管理	v. 执行
administering	v. 管理
administers	v. 管理
administrability	n. 可管理性
administration	n. 管理	n. 行政
administrations	n. 政府
administrative	adj. 行政的
administratively	adv. 行政上
administrator	n. 管理员
administrators	n. 管理员
admirable	adj. 令人钦佩的
admirably	adv. 令人钦佩地
admiral	n. 海军上将
admirals	n. 海军上将
admiralty	n. 海事法
admiration	n. 钦佩
admire	v. 钦佩
admired	v. 钦佩	v. 欣赏
admirer	n. 仰慕者
admirers	n. 仰慕者
admires	v. 钦佩
admiring	adj. 赞赏的
admissible	adj. 可采纳的
admission	n. 承认	n. 入场
admissions	n. 录取
admit	v. 承认	v. 准许进入
admits	v. 承认	v. 准许进入
admittance	n. 进入
admitted	v. 承认	v. 准许
admittedly	adv. 诚然
admitting	v. 承认
admixture	n. 混合物
admonished	v. 告诫	v. 警告
admonition	n. 告诫
ado	n. 忙乱
adobe	n. 土坯
adolescence	n. 青春期
adolescent	n. 青少年
adolescents	n. 青少年
adolf	n. 阿道夫
adolfo	n. 阿道弗
adolph	n. 阿道夫
adonis	n. 阿多尼斯
adopt	v. 采用
adopted	v. 收养
adopter	n. 采用者
adopters	n. 采用者
adopting	v. 采用
adoption	n. 收养	n. 采用
adoptions	n. 收养
adoptive	adj. 收养的
adopts	v. 采用
adorable	adj. 可爱的
adoration	n. 崇拜
adore	v. 崇拜	v. 喜爱
adored	v. 崇拜	v. 喜爱
adores	v. 崇拜	v. 喜爱
adoring	adj. 崇拜的
adorn	v. 装饰
adorned	v. 装饰
adorning	v. 装饰
adp	n. 二磷酸腺苷
adrenal	adj. 肾上腺的
adrenalin	n. 肾上腺素
adrenaline	n. 肾上腺素
adrian	n. 阿德里安
adriana	n. 阿德里安娜
adriatic	n. 亚得里亚海
adrienne	n. 阿德里安
adrift	adj. 漂流
ads	n. 广告
adsorption	n. 吸附
adtf	n. ADTF
adulation	n. 奉承
adult	n. 成年人
adulterous	adj. 通奸的
adultery	n. 通奸
adulthood	n. 成年
adults	n. 成人
advance	v. 前进
advanced	adj. 高级的
advancement	n. 进步
advancements	n. 进步
advances	n. 进展
advancing	adj. 前进
advantage	n. 优势
advantaged	adj. 有利的
advantageous	adj. 有利的
advantages	n. 优势
advent	n. 到来
adventist	n. 复临信徒
adventure	n. 冒险
adventurer	n. 冒险家
adventurers	n. 冒险家们
adventures	n. 冒险
adventuring	v. 冒险
adventurous	adj. 爱冒险的
adverb	n. 副词
adverbs	n. 副词
adversarial	adj. 对抗性的
adversaries	n. 对手
adversary	n. 对手	n. 敌手
adverse	adj. 不利的
adversely	adv. 不利地
adversity	n. 逆境
advert	n. 广告
advertise	v. 广告
advertised	adj. 广告的
advertisement	n. 广告
advertisements	n. 广告
advertiser	n. 广告商
advertisers	n. 广告商
advertises	v. 广告
advertising	n. 广告
adverts	n. 广告
advice	n. 建议	n. 忠告
advil	n. 艾德维尔
advisable	adj. 明智的
advise	v. 建议
advised	v. 建议
adviser	n. 顾问	n. 指导者
advisers	n. 顾问
advises	v. 建议
advising	v. 建议
advisor	n. 顾问
advisories	n. 公告
advisors	n. 顾问
advisory	n. 咨询
advocacy	n. 倡导
advocate	v. 提倡
advocated	v. 提倡
advocates	n. 倡导者
advocating	v. 提倡	v. 主张
aead	n. AEAD
aegean	n. 爱琴海
aegis	n. 庇护
aeiouy	n. aeiouy
aeneas	n. 埃涅阿斯
aeon	n. 永世
aerial	adj. 空中的
aerials	n. 天线
aerobic	adj. 有氧
aerobics	n. 有氧运动
aerodrome	n. 机场
aerodynamic	adj. 空气动力
aerodynamics	n. 空气动力学
aeronautical	adj. 航空的
aeronautics	n. 航空学
aeroplane	n. 飞机
aeroplanes	n. 飞机
aerosol	n. 气溶胶
aerosols	n. 气溶胶
aerospace	n. 航空航天
aesop	n. 伊索
aesthetic	adj. 审美的	adj. 美学的
aesthetically	adv. 审美上
aesthetics	n. 美学
af	n. 空军
afar	adv. 遥远地
afb	n. 空军基地
afc	n. 亚足联
affable	adj. 和蔼的
affair	n. 事务	n. 事件
affairs	n. 事务
affect	v. 影响
affected	v. 影响
affecting	v. 影响
affection	n. 喜爱	n. 感情
affectionate	adj. 深情的
affectionately	adv. 深情地
affections	n. 感情
affective	adj. 情感的
affects	v. 影响
affero	n. Affero
affidavit	n. 宣誓书
affidavits	n. 宣誓书
affiliate	v. 隶属
affiliated	adj. 附属的
affiliates	n. 附属机构
affiliation	n. 隶属	n. 联系
affiliations	n. 隶属关系
affinities	n. 亲和力
affinity	n. 亲和力
affirm	v. 肯定
affirmation	n. 肯定
affirmations	n. 肯定
affirmative	adj. 肯定的
affirmed	v. 确认	v. 断言
affirming	v. 肯定
affirms	v. 确认
affix	v. 粘贴
affixed	v. 粘贴
afflicted	adj. 受折磨的
affliction	n. 苦难
afflictions	n. 苦难
affluence	n. 富裕
affluent	adj. 富裕的
afford	v. 负担得起
affordability	n. 可负担性
affordable	adj. 负担得起的
afforded	v. 提供
affording	v. 提供
affords	v. 负担得起
affront	n. 侮辱
afghan	n. 阿富汗人
afghanistan	n. 阿富汗
afghans	n. 阿富汗人
aficionado	n. 爱好者
aficionados	n. 爱好者
afield	adv. 远离
afloat	adj. 漂浮的
afoot	adv. 进行中
aforementioned	adj. 前述的
aforesaid	adj. 前述的
afoul	adv. 纠缠
afraid	adj. 害怕的
afresh	adv. 重新
africa	n. 非洲
african	adj. 非洲的
africans	n. 非洲人
afrikaans	n. 南非荷兰语
afro	n. 非洲式发型
aft	adv. 在船尾
after	prep. 之后
aftercare	n. 术后护理
afterglow	n. 余晖
afterlife	n. 来世
aftermarket	n. 售后市场
aftermath	n. 后果
afternoon	n. 下午
afternoons	n. 下午
aftershave	n. 须后水
aftershock	n. 余震
aftertaste	n. 回味
afterthought	n. 事后想法
afterward	adv. 后来
afterwards	adv. 后来
ag	n. 银
again	adv. 再次
against	prep. 反对
agamemnon	n. 阿伽门农
agape	adj. 目瞪口呆
agar	n. 琼脂
agate	n. 玛瑙
agatha	n. 阿加莎
agave	n. 龙舌兰
age	n. 年龄	n. 时代
aged	adj. 年老的
ageing	n. 老化
ageless	adj. 永恒的
agencies	n. 机构
agency	n. 机构
agenda	n. 议程
agendas	n. 议程
agent	n. 代理人
agentless	adj. 无代理
agents	n. 代理人	n. 特工
ages	n. 年龄
aggie	n. 农学院学生
agglomeration	n. 聚集
aggravate	v. 加重	v. 恶化
aggravated	adj. 加重的
aggravating	adj. 恼人的
aggravation	n. 恶化
aggregate	n. 总计	n. 合计
aggregated	adj. 聚合的
aggregates	n. 总计
aggregating	v. 聚合
aggregation	n. 聚合
aggregations	n. 聚合
aggregator	n. 聚合器
aggregators	n. 聚合器
aggression	n. 侵略
aggressive	adj. 侵略性的	adj. 好斗的
aggressively	adv. 激进地	adv. 侵略性地
aggressiveness	n. 攻击性
aggressor	n. 侵略者
aggressors	n. 侵略者
aggrieved	adj. 受委屈的
aghast	adj. 惊骇
agi	n. 通用人工智能
agile	adj. 敏捷的
agility	n. 敏捷
aging	n. 老化
agitate	v. 煽动	v. 搅动
agitated	adj. 激动的
agitating	v. 煽动
agitation	n. 煽动	n. 焦虑
agitator	n. 搅拌器
agitators	n. 煽动者
agnes	n. 阿格尼丝
agnew	n. 阿格纽
agni	n. 阿格尼
agnostic	adj. 不可知论的
ago	adv. 以前
agonist	n. 激动剂
agonists	n. 激动剂
agonizing	adj. 痛苦的
agony	n. 痛苦
agra	n. 阿格拉
agrarian	adj. 农业的
agree	v. 同意
agreeable	adj. 令人愉快的	adj. 同意的
agreed	v. 同意
agreeing	v. 同意
agreement	n. 协议	n. 同意
agreements	n. 协议
agrees	v. 同意
agribusiness	n. 农业企业
agricultural	adj. 农业的
agriculture	n. 农业
agrippa	n. 阿格里帕
aground	adv. 搁浅
aguilar	n. 阿吉拉尔
aguirre	n. 阿吉雷
ah	int. 啊
aha	int. 啊哈
ahab	n. 亚哈
ahead	adv. 在前面
ahem	int. 咳咳
ahmad	n. 艾哈迈德
ahmadinejad	n. 艾哈迈迪内贾德
ahmed	n. 艾哈迈德
ahold	adv. 抓住
ahoy	int. 喂	int. 啊嗬
ai	n. 人工智能
aid	n. 援助
aida	n. 阿依达
aide	n. 助手
aided	v. 帮助
aides	n. 助手
aiding	v. 帮助
aids	n. 艾滋病
aiken	n. 艾肯
aikido	n. 合气道
aileen	n. 艾琳
ailing	adj. 生病的
ailment	n. 小病
ailments	n. 疾病
aim	n. 目标
aimed	v. 瞄准	v. 旨在
aimee	n. 艾梅
aiming	v. 瞄准
aimless	adj. 无目的的
aimlessly	adv. 无目的地
aims	v. 瞄准	v. 旨在
air	n. 空气
airbag	n. 安全气囊
airbags	n. 安全气囊
airbase	n. 空军基地
airborne	adj. 空运的
airbrake	n. 气闸
airbrush	n. 喷枪
airbus	n. 空客
aircraft	n. 飞机
aircrew	n. 空勤人员
airdrop	n. 空投
aired	v. 播出
aires	n. 艾利斯
airfare	n. 机票费
airfield	n. 机场
airfields	n. 机场
airflow	n. 气流
airing	n. 播出
airlift	n. 空运
airlifted	v. 空运
airline	n. 航空公司
airliner	n. 客机
airliners	n. 客机
airlines	n. 航空公司
airlock	n. 气闸
airmail	n. 航空邮件
airman	n. 飞行员
airmen	n. 飞行员
airplane	n. 飞机
airplanes	n. 飞机
airplay	n. 播放
airport	n. 机场
airports	n. 机场
airs	n. 空气
airship	n. 飞艇
airships	n. 飞艇
airshow	n. 航展
airspace	n. 领空
airspeed	n. 空速
airstrike	n. 空袭
airstrikes	n. 空袭
airstrip	n. 简易机场
airtight	adj. 密封的
airtime	n. 播出时间
airwatch	n. AirWatch
airwaves	n. 电波
airway	n. 气道	n. 航线
airways	n. 气道	n. 航空公司
airy	adj. 通风的
aisha	n. 阿伊莎
aisle	n. 过道
aisles	n. 过道
ajar	adj. 半开
ajax	n. 阿贾克斯
ak	n. 阿拉斯加
aka	n. 又名
akbar	n. 阿克巴
akin	adj. 相似的
akron	n. 阿克伦
al	n. AL
ala	n. 阿拉
alabama	n. 阿拉巴马
alabaster	n. 雪花石膏
aladdin	n. 阿拉丁
alamo	n. 阿拉莫
alan	n. 艾伦
alana	n. 阿拉娜
alaric	n. 阿拉里克
alarm	n. 警报
alarmed	adj. 惊恐的
alarming	adj. 令人担忧的
alarmingly	adv. 惊人地
alarmist	n. 危言耸听者
alarms	n. 警报
alas	int. 唉
alaska	n. 阿拉斯加
alaskan	adj. 阿拉斯加的
alb	n. 白袍
alba	n. 阿尔巴
albania	n. 阿尔巴尼亚
albanian	n. 阿尔巴尼亚人	n. 阿尔巴尼亚语
albanians	n. 阿尔巴尼亚人
albany	n. 奥尔巴尼
albatross	n. 信天翁
albeit	conj. 虽然
albert	n. 阿尔伯特
alberta	n. 阿尔伯塔
alberto	n. 阿尔贝托
albino	n. 白化病者
albion	n. 阿尔比恩
album	n. 专辑
albumin	n. 白蛋白
albums	n. 专辑
albuquerque	n. 阿尔伯克基
alcatraz	n. 恶魔岛
alchemist	n. 炼金术士
alchemists	n. 炼金术士
alchemy	n. 炼金术
alcoa	n. 美铝公司
alcohol	n. 酒精	n. 酒
alcoholic	adj. 酒精的
alcoholics	n. 酗酒者
alcoholism	n. 酗酒
alcohols	n. 醇类
alcott	n. 奥尔科特
alcove	n. 壁龛
alden	n. 奥尔登
alder	n. 桤木
alderman	n. 市议员
aldermen	n. 市议员
aldo	n. 奥尔多
aldrin	n. 奥尔德林
ale	n. 麦芽酒
alec	n. 亚历克
alejandro	n. 亚历杭德罗
aleppo	n. 阿勒颇
alert	adj. 警觉的
alerted	v. 警告	v. 提醒
alerting	n. 警报
alertmanager	n. 告警管理器
alertname	n. 告警名
alertness	n. 警觉
alerts	n. 警报
ales	n. 麦芽酒
aleutian	adj. 阿留申的
alex	n. 亚历克斯
alexander	n. 亚历山大
alexandra	n. 亚历山德拉
alexandria	n. 亚历山大
alexei	n. 阿列克谢
alexis	n. 亚历克西斯
alexnet	n. AlexNet
alfalfa	n. 苜蓿
alfonso	n. 阿方索
alford	n. 阿尔福德
alfred	n. 阿尔弗雷德
alfredo	n. 阿尔弗雷多
algae	n. 藻类
algal	adj. 藻类的
algebra	n. 代数
algebraic	adj. 代数的
algebras	n. 代数
alger	n. 阿尔杰
algeria	n. 阿尔及利亚
algerian	adj. 阿尔及利亚的
algiers	n. 阿尔及尔
algo	n. 算法
algolia	n. Algolia
algonquin	n. 阿尔冈昆人
algorithm	n. 算法
algorithmic	adj. 算法的
algorithms	n. 算法
algos	n. 算法
alhambra	n. 阿尔罕布拉
ali	n. 阿里
alias	n. 别名
aliases	n. 别名
alibaba	n. 阿里巴巴
alibi	n. 不在场证明
alice	n. 爱丽丝
alicia	n. 艾丽西亚
alien	n. 外星人
alienate	v. 疏远
alienated	adj. 疏远的
alienating	adj. 疏远的
alienation	n. 疏远
aliens	n. 外星人
alight	adj. 点着的
align	v. 对齐	v. 结盟
aligned	v. 对齐
aligning	v. 对齐
alignment	n. 对齐
alignments	n. 对齐
aligns	v. 对齐
alike	adv. 一样
alimony	n. 赡养费
aline	n. 艾琳
alisa	n. 艾丽莎
alisha	n. 阿莉莎
alison	n. 艾莉森
alissa	n. 艾丽莎
alistair	n. 阿利斯泰尔
alive	adj. 活着
alkali	n. 碱
alkaline	adj. 碱性的
alkaloids	n. 生物碱
all	adj. 所有
allah	n. 安拉
allahabad	n. 安拉阿巴德
allan	n. 艾伦
allay	v. 减轻
allcontributors	n. 全部贡献者
allegation	n. 指控
allegations	n. 指控
allege	v. 声称	v. 指控
alleged	adj. 所谓的
allegedly	adv. 据称
alleges	v. 指控	v. 宣称
allegheny	n. 阿勒格尼
allegiance	n. 忠诚
allegiances	n. 忠诚
alleging	v. 声称
allegorical	adj. 寓言的
allegory	n. 寓言
allegra	n. Allegra
allegro	n. 快板
allele	n. 等位基因
alleles	n. 等位基因
allen	n. 艾伦
allende	n. 阿连德
allentown	n. 阿伦敦
allergen	n. 过敏原
allergens	n. 过敏原
allergic	adj. 过敏
allergies	n. 过敏
allergy	n. 过敏
alleviate	v. 减轻
alleviated	v. 缓解
alleviating	v. 缓解
alleviation	n. 缓解
alley	n. 小巷	n. 胡同
alleys	n. 小巷
alleyway	n. 小巷
alliance	n. 联盟
alliances	n. 联盟
allie	n. 艾莉
allied	adj. 同盟
allies	n. 盟友
alligator	n. 短吻鳄
alligators	n. 短吻鳄
allison	n. 艾莉森
alliteration	n. 头韵
alloc	v. 分配
allocatables	n. 可分配项
allocate	v. 分配
allocated	v. 分配
allocates	v. 分配
allocating	v. 分配
allocation	n. 分配
